datetime,temperature_2m,relative_humidity_2m,dew_point_2m,pressure_msl,surface_pressure,precipitation,rain,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m
2025-11-01 00:00:00,20.5,91,19.0,1018.9,1016.7,0.1,0.1,100,3.97,19,8.4
2025-11-01 01:00:00,20.6,87,18.4,1019.3,1017.1,0.5,0.5,100,4.41,23,7.9
2025-11-01 02:00:00,21.0,85,18.4,1019.5,1017.3,0.1,0.1,100,3.67,17,7.9
2025-11-01 03:00:00,21.5,83,18.5,1019.8,1017.6,0.1,0.1,100,3.26,5,6.9
2025-11-01 04:00:00,21.4,82,18.1,1019.0,1016.8,0.2,0.2,100,3.55,359,7.0
2025-11-01 05:00:00,21.7,77,17.5,1018.1,1015.9,0.1,0.1,100,3.8,2,7.8
2025-11-01 06:00:00,20.1,83,17.1,1017.7,1015.5,0.1,0.1,100,3.61,356,7.9
2025-11-01 07:00:00,20.4,83,17.3,1016.8,1014.6,0.3,0.3,100,3.75,2,7.5
2025-11-01 08:00:00,20.4,83,17.4,1016.3,1014.1,0.3,0.3,100,4.09,12,7.7
2025-11-01 09:00:00,20.2,83,17.4,1016.2,1014.0,0.2,0.2,100,3.59,16,7.9
2025-11-01 10:00:00,20.0,84,17.3,1016.2,1014.0,0.1,0.1,100,3.45,10,6.7
2025-11-01 11:00:00,20.0,83,17.0,1016.7,1014.5,0.0,0.0,100,3.34,13,6.5
2025-11-01 12:00:00,21.0,82,17.7,1017.1,1014.9,0.0,0.0,100,2.21,18,6.2
2025-11-01 13:00:00,21.1,80,17.5,1018.1,1015.9,0.0,0.0,100,2.58,18,4.6
2025-11-01 14:00:00,20.9,78,17.0,1018.3,1016.1,0.1,0.1,100,2.8,22,5.1
2025-11-01 15:00:00,20.5,79,16.8,1018.4,1016.2,0.1,0.1,100,2.85,15,5.3
2025-11-01 16:00:00,20.4,79,16.6,1018.4,1016.2,0.0,0.0,100,2.5,12,5.1
2025-11-01 17:00:00,20.2,78,16.2,1018.2,1016.0,0.0,0.0,100,2.99,10,5.4
2025-11-01 18:00:00,20.2,82,17.1,1017.8,1015.6,0.0,0.0,100,2.86,12,5.8
2025-11-01 19:00:00,20.0,82,16.8,1016.9,1014.7,0.1,0.1,100,3.46,14,6.3
2025-11-01 20:00:00,19.8,81,16.5,1016.9,1014.6,0.1,0.1,100,2.78,8,6.3
2025-11-01 21:00:00,19.5,84,16.7,1016.8,1014.5,0.5,0.5,100,3.08,7,5.1
2025-11-01 22:00:00,19.2,87,16.9,1016.9,1014.6,0.2,0.2,100,3.16,5,5.6
2025-11-01 23:00:00,19.1,87,17.0,1017.9,1015.6,0.2,0.2,100,3.25,1,5.5
2025-11-02 00:00:00,19.2,88,17.2,1018.6,1016.3,0.1,0.1,100,3.65,360,6.9
2025-11-02 01:00:00,19.6,86,17.2,1019.3,1017.0,0.1,0.1,100,4.05,3,7.6
2025-11-02 02:00:00,19.8,85,17.2,1020.1,1017.8,0.3,0.3,100,4.2,2,7.9
2025-11-02 03:00:00,20.2,84,17.5,1020.0,1017.7,0.2,0.2,100,3.75,2,7.9
2025-11-02 04:00:00,21.0,80,17.4,1019.1,1016.9,0.0,0.0,100,3.61,355,7.6
2025-11-02 05:00:00,21.2,80,17.6,1018.1,1015.9,0.0,0.0,100,3.3,357,7.4
2025-11-02 06:00:00,20.8,81,17.5,1017.7,1015.5,0.1,0.1,100,3.45,2,6.8
2025-11-02 07:00:00,20.9,83,17.9,1017.0,1014.8,0.1,0.1,100,3.3,350,6.7
2025-11-02 08:00:00,20.8,85,18.2,1016.7,1014.5,0.1,0.1,100,3.32,344,6.5
2025-11-02 09:00:00,20.9,85,18.1,1016.6,1014.4,0.0,0.0,100,3.4,350,6.5
2025-11-02 10:00:00,20.7,83,17.8,1017.0,1014.8,0.0,0.0,100,3.55,1,6.7
2025-11-02 11:00:00,20.6,81,17.2,1017.3,1015.1,0.0,0.0,100,3.42,6,6.7
2025-11-02 12:00:00,20.8,83,17.8,1018.2,1016.0,0.0,0.0,100,3.63,12,6.4
2025-11-02 13:00:00,20.6,79,17.0,1019.1,1016.9,0.0,0.0,100,3.95,18,7.4
2025-11-02 14:00:00,20.5,77,16.2,1019.3,1017.0,0.0,0.0,100,3.64,21,7.4
2025-11-02 15:00:00,20.4,75,15.9,1019.6,1017.3,0.0,0.0,100,3.81,14,7.2
2025-11-02 16:00:00,20.1,77,15.9,1019.3,1017.0,0.1,0.1,100,3.67,11,7.1
2025-11-02 17:00:00,19.8,79,16.0,1018.6,1016.3,0.1,0.1,100,3.77,5,7.0
2025-11-02 18:00:00,20.0,84,17.2,1017.9,1015.6,0.0,0.0,100,3.7,358,7.0
2025-11-02 19:00:00,20.0,82,16.8,1017.1,1014.9,0.0,0.0,100,3.9,2,7.3
2025-11-02 20:00:00,20.0,80,16.3,1016.9,1014.7,0.0,0.0,100,3.76,3,7.2
2025-11-02 21:00:00,19.9,78,15.9,1017.1,1014.9,0.0,0.0,100,3.52,7,7.0
2025-11-02 22:00:00,19.9,76,15.5,1017.3,1015.0,0.0,0.0,100,3.88,7,7.2
2025-11-02 23:00:00,19.6,74,14.9,1018.2,1015.9,0.0,0.0,100,4.18,7,8.0
2025-11-03 00:00:00,19.3,75,14.9,1018.7,1016.4,0.0,0.0,100,4.28,7,7.9
2025-11-03 01:00:00,19.2,75,14.7,1020.0,1017.7,0.1,0.1,100,4.37,16,8.5
2025-11-03 02:00:00,19.4,75,14.9,1020.8,1018.5,0.3,0.3,100,3.94,8,8.2
2025-11-03 03:00:00,19.3,78,15.4,1020.8,1018.5,0.3,0.3,100,3.96,3,7.7
2025-11-03 04:00:00,19.6,75,14.9,1020.1,1017.8,0.0,0.0,100,4.15,1,8.1
2025-11-03 05:00:00,19.8,74,14.9,1019.3,1017.0,0.1,0.1,100,4.0,358,8.2
2025-11-03 06:00:00,19.8,76,15.4,1018.5,1016.2,0.1,0.1,100,4.13,353,8.3
2025-11-03 07:00:00,20.0,76,15.6,1017.7,1015.4,0.0,0.0,100,4.1,351,8.2
2025-11-03 08:00:00,19.8,76,15.4,1016.9,1014.6,0.0,0.0,100,4.15,347,8.4
2025-11-03 09:00:00,20.0,75,15.5,1016.6,1014.4,0.0,0.0,100,3.63,345,8.1
2025-11-03 10:00:00,19.8,77,15.6,1016.6,1014.4,0.0,0.0,100,3.54,351,6.9
2025-11-03 11:00:00,20.0,75,15.4,1016.8,1014.6,0.0,0.0,100,3.51,4,6.6
2025-11-03 12:00:00,18.8,86,16.4,1017.8,1015.5,0.0,0.0,100,3.82,354,6.5
2025-11-03 13:00:00,18.8,84,15.9,1018.4,1016.1,0.0,0.0,100,4.0,1,7.4
2025-11-03 14:00:00,18.6,84,15.9,1018.8,1016.5,0.2,0.2,100,3.86,4,7.4
2025-11-03 15:00:00,18.5,85,15.9,1019.0,1016.7,0.2,0.2,100,3.35,3,6.9
2025-11-03 16:00:00,18.2,86,15.9,1018.8,1016.5,0.3,0.3,100,3.51,3,6.1
2025-11-03 17:00:00,18.1,86,15.7,1018.1,1015.8,0.2,0.2,100,3.91,4,6.8
2025-11-03 18:00:00,17.9,90,16.1,1018.1,1015.8,0.1,0.1,100,4.1,360,7.1
2025-11-03 19:00:00,18.0,88,15.9,1017.9,1015.6,0.3,0.3,100,3.7,358,7.2
2025-11-03 20:00:00,17.9,88,15.8,1017.6,1015.3,0.1,0.1,100,3.7,2,6.4
2025-11-03 21:00:00,17.9,87,15.8,1017.2,1014.9,0.2,0.2,100,3.95,1,6.9
2025-11-03 22:00:00,18.0,86,15.6,1017.2,1014.9,0.1,0.1,100,4.2,2,7.4
2025-11-03 23:00:00,18.2,83,15.3,1017.8,1015.5,0.1,0.1,100,4.25,359,7.6
