datetime,temperature_2m,relative_humidity_2m,dew_point_2m,pressure_msl,surface_pressure,precipitation,rain,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m
2024-11-01 00:00:00,22.8,80,19.2,1013.6,1011.4,0.0,0.0,0,2.79,36,4.4
2024-11-01 01:00:00,25.4,77,21.1,1013.9,1011.7,0.0,0.0,0,1.83,17,4.2
2024-11-01 02:00:00,27.7,58,18.6,1014.6,1012.4,0.0,0.0,0,3.33,26,6.3
2024-11-01 03:00:00,28.7,46,16.0,1014.8,1012.6,0.0,0.0,0,4.37,20,8.6
2024-11-01 04:00:00,29.3,45,16.0,1014.2,1012.0,0.0,0.0,0,4.36,25,8.7
2024-11-01 05:00:00,30.1,40,15.1,1013.4,1011.2,0.0,0.0,0,3.96,26,8.7
2024-11-01 06:00:00,30.7,37,14.2,1012.3,1010.1,0.0,0.0,0,3.69,21,8.0
2024-11-01 07:00:00,31.0,36,14.1,1011.3,1009.1,0.0,0.0,0,3.37,21,7.4
2024-11-01 08:00:00,30.8,37,14.6,1011.2,1009.0,0.0,0.0,0,2.92,31,6.5
2024-11-01 09:00:00,29.8,44,16.1,1011.3,1009.1,0.0,0.0,0,2.06,51,5.2
2024-11-01 10:00:00,27.2,45,14.4,1011.5,1009.3,0.0,0.0,0,2.3,63,3.5
2024-11-01 11:00:00,26.1,41,12.0,1012.2,1010.0,0.0,0.0,0,3.35,63,5.4
2024-11-01 12:00:00,25.8,41,11.5,1013.6,1011.4,0.0,0.0,0,4.54,71,7.4
2024-11-01 13:00:00,25.6,44,12.3,1013.7,1011.5,0.0,0.0,88,3.63,75,5.7
2024-11-01 14:00:00,25.8,42,12.1,1015.0,1012.8,0.0,0.0,88,3.81,71,7.2
2024-11-01 15:00:00,24.1,49,12.6,1016.1,1013.9,0.0,0.0,83,2.46,66,6.3
2024-11-01 16:00:00,22.9,53,12.9,1016.6,1014.4,0.0,0.0,100,2.15,59,4.0
2024-11-01 17:00:00,21.6,60,13.4,1016.6,1014.4,0.0,0.0,93,2.25,53,3.4
2024-11-01 18:00:00,21.0,62,13.5,1016.4,1014.2,0.0,0.0,91,2.31,39,3.3
2024-11-01 19:00:00,21.1,60,13.1,1016.3,1014.1,0.0,0.0,83,2.18,20,3.4
2024-11-01 20:00:00,20.4,63,13.1,1016.1,1013.9,0.0,0.0,3,2.05,3,3.4
2024-11-01 21:00:00,20.2,62,12.8,1016.3,1014.1,0.0,0.0,4,2.5,1,4.0
2024-11-01 22:00:00,20.3,60,12.4,1016.8,1014.6,0.0,0.0,0,2.87,6,4.8
