datetime,temperature_2m,relative_humidity_2m,dew_point_2m,pressure_msl,surface_pressure,precipitation,rain,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m
2025-09-01 00:00:00,24.9,94,23.9,1008.3,1006.1,0.1,0.1,97,1.08,304,3.5
2025-09-01 01:00:00,25.5,93,24.2,1009.2,1007.0,4.6,4.6,100,0.76,172,4.2
2025-09-01 02:00:00,26.3,89,24.3,1009.2,1007.0,0.1,0.1,100,0.43,126,2.9
2025-09-01 03:00:00,28.0,82,24.6,1009.1,1006.9,0.1,0.1,100,0.56,63,4.1
2025-09-01 04:00:00,29.1,78,25.0,1008.4,1006.2,0.1,0.1,100,1.45,360,5.0
2025-09-01 05:00:00,29.6,77,25.2,1007.5,1005.3,0.2,0.2,100,0.98,24,5.5
2025-09-01 06:00:00,30.1,73,24.7,1006.2,1004.0,0.1,0.1,100,0.87,103,4.8
2025-09-01 07:00:00,30.5,72,24.9,1004.8,1002.7,0.0,0.0,96,1.62,112,5.8
2025-09-01 08:00:00,30.7,69,24.4,1004.1,1002.0,0.0,0.0,97,2.15,112,5.9
2025-09-01 09:00:00,30.2,71,24.4,1003.9,1001.8,0.0,0.0,97,2.35,102,5.6
2025-09-01 10:00:00,29.2,77,24.6,1004.1,1001.9,0.0,0.0,99,2.8,130,5.7
2025-09-01 11:00:00,28.1,85,25.2,1004.6,1002.4,0.0,0.0,100,2.54,144,5.7
2025-09-01 12:00:00,27.5,88,25.4,1005.3,1003.1,0.0,0.0,99,1.99,155,4.7
2025-09-01 13:00:00,26.9,90,25.1,1006.1,1003.9,0.0,0.0,100,1.47,190,3.6
2025-09-01 14:00:00,26.4,93,25.0,1007.2,1005.0,0.0,0.0,100,1.13,167,2.6
2025-09-01 15:00:00,26.1,93,25.0,1007.9,1005.7,0.0,0.0,100,1.18,168,2.7
2025-09-01 16:00:00,26.0,94,25.0,1008.1,1005.9,0.0,0.0,100,0.91,186,2.1
2025-09-01 17:00:00,25.8,95,24.9,1007.8,1005.6,0.0,0.0,99,0.7,201,1.5
2025-09-01 18:00:00,25.5,96,24.9,1007.2,1005.0,0.0,0.0,99,0.6,204,1.3
2025-09-01 19:00:00,25.5,97,24.9,1007.1,1004.9,0.0,0.0,100,0.11,117,1.0
2025-09-01 20:00:00,25.2,99,25.0,1006.8,1004.6,0.0,0.0,100,0.11,63,0.4
2025-09-01 21:00:00,25.0,100,25.0,1006.7,1004.5,0.0,0.0,100,0.96,43,1.8
2025-09-01 22:00:00,25.0,99,24.8,1006.9,1004.7,0.0,0.0,100,1.43,78,2.7
2025-09-01 23:00:00,25.0,99,24.7,1007.1,1004.9,0.0,0.0,100,1.4,86,2.7
2025-09-02 00:00:00,25.9,94,24.8,1007.4,1005.2,0.0,0.0,97,1.55,94,3.6
2025-09-02 01:00:00,28.0,87,25.6,1007.8,1005.6,0.0,0.0,100,1.41,73,4.9
2025-09-02 02:00:00,29.3,80,25.5,1008.7,1006.5,0.0,0.0,100,1.05,93,4.7
2025-09-02 03:00:00,30.2,75,25.4,1008.8,1006.6,0.1,0.1,87,1.05,115,4.3
2025-09-02 04:00:00,30.8,72,25.1,1008.2,1006.0,0.1,0.1,96,1.03,129,4.3
2025-09-02 05:00:00,31.1,71,25.2,1007.4,1005.3,0.1,0.1,82,1.34,135,4.7
2025-09-02 06:00:00,31.3,70,25.1,1005.9,1003.8,0.1,0.1,27,1.74,139,5.3
2025-09-02 07:00:00,31.5,72,25.8,1004.8,1002.7,0.1,0.1,62,2.74,142,6.5
2025-09-02 08:00:00,31.1,71,25.4,1003.7,1001.6,0.1,0.1,72,2.8,139,7.4
2025-09-02 09:00:00,31.1,69,24.8,1003.5,1001.4,0.0,0.0,84,3.46,127,7.2
2025-09-02 10:00:00,29.6,76,25.0,1004.2,1002.0,0.0,0.0,86,3.83,151,8.1
2025-09-02 11:00:00,28.6,83,25.4,1004.7,1002.5,0.0,0.0,83,1.99,162,7.5
2025-09-02 12:00:00,28.0,87,25.6,1005.6,1003.4,0.0,0.0,88,1.87,160,3.7
2025-09-02 13:00:00,27.0,89,25.0,1006.4,1004.2,0.0,0.0,70,1.7,118,3.3
2025-09-02 14:00:00,26.9,89,25.0,1007.2,1005.0,0.0,0.0,46,1.59,152,3.1
2025-09-02 15:00:00,26.9,89,24.8,1007.7,1005.5,0.0,0.0,19,1.65,145,3.1
2025-09-02 16:00:00,26.6,90,24.9,1007.9,1005.7,0.0,0.0,26,1.46,142,3.0
2025-09-02 17:00:00,26.4,93,25.1,1008.0,1005.8,0.0,0.0,19,1.36,152,2.6
2025-09-02 18:00:00,26.1,95,25.2,1007.5,1005.3,0.0,0.0,28,1.34,153,2.6
2025-09-02 19:00:00,25.9,96,25.1,1007.4,1005.2,0.0,0.0,5,1.05,155,2.4
2025-09-02 20:00:00,25.6,97,25.1,1007.2,1005.0,0.0,0.0,0,1.07,127,1.9
2025-09-02 21:00:00,25.6,97,25.1,1007.1,1004.9,0.0,0.0,14,1.21,120,2.3
2025-09-02 22:00:00,25.4,98,25.1,1007.2,1005.0,0.0,0.0,2,1.11,108,2.3
2025-09-02 23:00:00,25.4,99,25.1,1007.3,1005.1,0.0,0.0,0,1.1,93,2.1
2025-09-03 00:00:00,26.6,95,25.8,1007.8,1005.6,0.0,0.0,0,1.1,90,3.0
2025-09-03 01:00:00,29.0,84,26.0,1008.7,1006.5,0.0,0.0,37,1.91,131,4.8
2025-09-03 02:00:00,30.1,74,25.1,1009.2,1007.0,0.0,0.0,83,2.06,162,5.3
2025-09-03 03:00:00,31.0,69,24.6,1009.0,1006.8,0.0,0.0,55,2.39,164,6.0
2025-09-03 04:00:00,31.5,66,24.5,1008.6,1006.5,0.0,0.0,100,2.5,164,6.3
2025-09-03 05:00:00,32.0,64,24.3,1007.6,1005.5,0.1,0.1,46,2.29,164,6.3
2025-09-03 06:00:00,32.6,61,24.1,1006.5,1004.4,0.1,0.1,27,2.38,165,6.1
2025-09-03 07:00:00,32.0,64,24.4,1005.5,1003.4,0.0,0.0,23,3.26,159,7.3
2025-09-03 08:00:00,31.9,67,24.9,1004.3,1002.2,0.0,0.0,20,3.12,145,7.6
2025-09-03 09:00:00,31.6,69,25.1,1003.8,1001.7,0.0,0.0,26,3.33,154,7.0
2025-09-03 10:00:00,30.0,77,25.5,1003.7,1001.6,0.0,0.0,21,3.55,148,8.0
2025-09-03 11:00:00,29.2,82,25.9,1003.8,1001.6,0.0,0.0,14,2.0,143,6.9
