datetime,temperature_2m,relative_humidity_2m,dew_point_2m,pressure_msl,surface_pressure,precipitation,rain,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m
2025-02-01 00:00:00,19.0,98,18.6,1011.4,1009.2,0.2,0.2,100,3.45,120,6.0
2025-02-01 01:00:00,19.3,94,18.3,1012.7,1010.5,0.2,0.2,100,3.86,121,6.8
2025-02-01 02:00:00,20.2,89,18.4,1013.9,1011.7,0.1,0.1,100,4.1,128,7.9
2025-02-01 03:00:00,22.0,77,17.7,1013.8,1011.6,0.1,0.1,100,4.23,151,8.8
2025-02-01 04:00:00,21.8,80,18.1,1013.3,1011.1,0.1,0.1,100,3.83,144,8.8
2025-02-01 05:00:00,23.3,72,18.0,1012.1,1009.9,0.1,0.1,100,4.02,159,8.3
2025-02-01 06:00:00,24.2,68,18.0,1010.2,1008.0,0.1,0.1,100,4.34,156,9.3
2025-02-01 07:00:00,24.9,66,18.0,1008.6,1006.4,0.1,0.1,82,4.7,147,9.9
2025-02-01 08:00:00,25.4,64,18.0,1007.6,1005.4,0.0,0.0,91,4.85,145,10.2
2025-02-01 09:00:00,24.6,67,18.1,1007.5,1005.3,0.0,0.0,89,5.23,137,10.5
2025-02-01 10:00:00,23.0,76,18.5,1007.8,1005.6,0.0,0.0,89,5.06,120,10.6
2025-02-01 11:00:00,21.3,84,18.4,1008.3,1006.1,0.0,0.0,87,4.35,109,9.6
2025-02-01 12:00:00,20.5,87,18.2,1009.2,1007.0,0.0,0.0,86,4.17,113,8.1
2025-02-01 13:00:00,19.9,92,18.5,1010.2,1008.0,0.0,0.0,95,3.4,118,7.5
2025-02-01 14:00:00,19.4,95,18.5,1010.7,1008.5,0.0,0.0,100,3.34,122,6.6
2025-02-01 15:00:00,19.5,95,18.6,1011.0,1008.8,0.0,0.0,100,2.82,123,6.3
2025-02-01 16:00:00,19.8,94,18.7,1011.0,1008.8,0.0,0.0,100,2.49,120,5.5
2025-02-01 17:00:00,19.8,94,18.8,1011.0,1008.8,0.0,0.0,100,2.2,129,4.9
2025-02-01 18:00:00,19.8,94,18.8,1011.1,1008.9,0.1,0.1,100,1.97,126,4.0
2025-02-01 19:00:00,19.5,94,18.6,1010.8,1008.6,0.0,0.0,100,2.31,95,4.1
2025-02-01 20:00:00,19.5,92,18.2,1010.7,1008.5,0.1,0.1,100,3.0,87,5.4
2025-02-01 21:00:00,19.2,92,18.0,1010.8,1008.6,0.3,0.3,100,3.09,99,5.5
2025-02-01 22:00:00,19.1,92,17.9,1010.8,1008.6,0.2,0.2,100,3.37,108,5.8
2025-02-01 23:00:00,19.0,91,17.6,1011.4,1009.2,0.1,0.1,100,4.06,109,7.1
2025-02-02 00:00:00,19.0,91,17.5,1011.9,1009.7,0.1,0.1,100,3.7,99,7.3
2025-02-02 01:00:00,20.0,86,17.5,1013.1,1010.9,0.1,0.1,100,2.95,87,5.7
2025-02-02 02:00:00,20.6,82,17.5,1014.1,1011.9,0.1,0.1,100,3.2,93,6.5
2025-02-02 03:00:00,21.7,78,17.6,1014.6,1012.4,0.0,0.0,100,4.02,111,8.5
2025-02-02 04:00:00,22.5,73,17.4,1014.1,1011.9,0.0,0.0,100,2.83,136,8.4
2025-02-02 05:00:00,23.1,70,17.4,1013.2,1011.0,0.0,0.0,100,3.04,144,6.7
2025-02-02 06:00:00,23.1,72,17.9,1011.9,1009.7,0.1,0.1,100,3.44,130,7.5
2025-02-02 07:00:00,23.6,70,18.0,1010.7,1008.5,0.0,0.0,100,3.16,131,7.5
2025-02-02 08:00:00,23.6,70,17.9,1010.0,1007.8,0.0,0.0,100,3.57,133,7.4
2025-02-02 09:00:00,23.2,73,18.0,1009.8,1007.6,0.0,0.0,100,3.67,128,7.8
2025-02-02 10:00:00,22.9,74,17.9,1009.9,1007.7,0.0,0.0,99,3.79,124,7.6
2025-02-02 11:00:00,21.8,78,17.8,1010.6,1008.4,0.0,0.0,100,3.72,132,7.2
2025-02-02 12:00:00,21.4,80,17.7,1011.4,1009.2,0.0,0.0,100,2.87,119,6.8
2025-02-02 13:00:00,19.6,90,17.9,1012.6,1010.4,0.0,0.0,12,3.27,124,6.0
2025-02-02 14:00:00,19.2,92,18.0,1013.6,1011.4,0.0,0.0,33,2.82,83,6.0
2025-02-02 15:00:00,18.8,90,17.0,1014.7,1012.4,0.0,0.0,100,3.73,55,6.9
2025-02-02 16:00:00,18.4,73,13.4,1015.3,1013.0,0.0,0.0,100,4.7,52,9.3
2025-02-02 17:00:00,17.3,73,12.4,1015.7,1013.4,0.1,0.1,100,5.21,53,9.9
2025-02-02 18:00:00,16.7,73,11.8,1016.1,1013.8,0.1,0.1,100,5.13,48,10.0
2025-02-02 19:00:00,16.0,73,11.2,1016.3,1014.0,0.1,0.1,100,5.02,43,10.1
2025-02-02 20:00:00,15.6,74,10.9,1016.2,1013.9,0.1,0.1,100,4.7,35,9.7
