datetime,temperature_2m,relative_humidity_2m,dew_point_2m,pressure_msl,surface_pressure,precipitation,rain,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m
2013-01-01 07:00:00,9.5,70,4.4,1022.1,1019.8,0.0,0.0,100,1.41,352,2.4
2013-01-01 08:00:00,11.2,64,4.6,1022.7,1020.4,0.0,0.0,99,1.53,11,3.5
2013-01-01 09:00:00,12.7,52,3.2,1023.4,1021.1,0.0,0.0,93,1.49,20,4.4
2013-01-01 10:00:00,13.7,48,2.9,1023.3,1021.0,0.0,0.0,92,1.36,17,4.5
2013-01-01 11:00:00,14.7,46,3.3,1022.8,1020.5,0.0,0.0,86,1.14,15,4.7
2013-01-01 12:00:00,15.3,46,3.8,1021.3,1019.0,0.0,0.0,48,0.92,13,4.5
2013-01-01 13:00:00,15.7,47,4.3,1020.0,1017.7,0.0,0.0,42,0.51,11,4.1
2013-01-01 14:00:00,15.1,50,4.7,1018.7,1016.4,0.0,0.0,45,0.32,72,3.4
2013-01-01 15:00:00,15.3,50,5.0,1018.1,1015.8,0.0,0.0,53,0.4,90,3.2
2013-01-01 16:00:00,15.2,51,5.1,1018.0,1015.7,0.0,0.0,49,0.63,108,2.9
2013-01-01 17:00:00,14.9,52,5.1,1018.2,1015.9,0.0,0.0,61,0.4,90,2.5
2013-01-01 18:00:00,14.2,60,6.6,1018.4,1016.1,0.0,0.0,32,1.2,85,1.9
2013-01-01 19:00:00,13.1,69,7.5,1018.5,1016.2,0.0,0.0,31,1.5,86,2.3
2013-01-01 20:00:00,12.8,67,6.7,1018.8,1016.5,0.0,0.0,35,1.9,90,2.3
2013-01-01 21:00:00,12.7,64,6.2,1018.9,1016.6,0.0,0.0,25,1.82,99,2.1
2013-01-01 22:00:00,12.3,66,6.2,1018.9,1016.6,0.0,0.0,24,1.62,112,2.0
2013-01-01 23:00:00,11.6,73,6.9,1018.9,1016.6,0.0,0.0,27,1.35,132,2.0
2013-01-02 00:00:00,10.9,78,7.3,1018.3,1016.0,0.0,0.0,23,1.48,152,2.3
2013-01-02 01:00:00,10.4,81,7.4,1018.2,1015.9,0.0,0.0,28,1.7,152,2.6
2013-01-02 02:00:00,11.6,71,6.6,1017.1,1014.8,0.0,0.0,57,1.49,138,2.3
2013-01-02 03:00:00,11.7,72,6.9,1016.8,1014.5,0.0,0.0,60,0.71,82,1.6
2013-01-02 04:00:00,10.9,81,7.8,1016.4,1014.1,0.0,0.0,48,0.76,23,1.6
2013-01-02 05:00:00,11.2,78,7.5,1016.2,1013.9,0.0,0.0,100,1.08,22,2.0
2013-01-02 06:00:00,11.4,80,8.1,1017.0,1014.7,0.0,0.0,97,1.02,11,2.1
2013-01-02 07:00:00,11.9,79,8.5,1017.8,1015.5,0.0,0.0,97,0.81,7,2.0
2013-01-02 08:00:00,13.1,70,7.7,1018.6,1016.3,0.0,0.0,87,0.9,360,2.4
2013-01-02 09:00:00,14.4,66,8.2,1019.3,1017.0,0.0,0.0,89,1.0,6,2.8
2013-01-02 10:00:00,15.6,65,9.0,1019.5,1017.2,0.0,0.0,95,0.67,27,3.1
2013-01-02 11:00:00,16.5,65,9.8,1019.1,1016.8,0.0,0.0,97,0.41,76,3.4
2013-01-02 12:00:00,17.2,65,10.6,1017.9,1015.6,0.0,0.0,98,0.85,111,3.8
2013-01-02 13:00:00,17.8,66,11.3,1017.0,1014.7,0.0,0.0,96,1.3,122,4.3
2013-01-02 14:00:00,17.0,69,11.3,1016.1,1013.8,0.0,0.0,100,1.56,130,4.0
2013-01-02 15:00:00,17.5,69,11.8,1015.8,1013.5,0.0,0.0,100,1.58,125,4.3
2013-01-02 16:00:00,17.6,70,12.0,1016.2,1013.9,0.0,0.0,98,1.49,110,4.2
2013-01-02 17:00:00,17.6,71,12.2,1016.7,1014.4,0.0,0.0,100,1.41,82,3.6
