datetime,temperature_2m,relative_humidity_2m,dew_point_2m,pressure_msl,surface_pressure,precipitation,rain,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m
2026-03-01 00:00:00,22.4,97,21.9,1006.2,1004.0,0.0,0.0,100,2.78,128,6.3
2026-03-01 01:00:00,23.9,91,22.2,1007.0,1004.8,0.0,0.0,100,3.37,145,7.0
2026-03-01 02:00:00,24.9,87,22.5,1007.7,1005.5,0.0,0.0,100,3.15,155,6.8
2026-03-01 03:00:00,26.8,78,22.6,1007.8,1005.6,0.0,0.0,98,2.98,166,6.9
2026-03-01 04:00:00,28.5,68,22.1,1007.1,1004.9,0.0,0.0,85,2.47,173,6.7
2026-03-01 05:00:00,30.0,67,23.1,1005.8,1003.6,0.0,0.0,14,1.35,178,6.0
2026-03-01 06:00:00,29.8,65,22.5,1005.1,1002.9,0.0,0.0,16,1.16,155,4.9
2026-03-01 07:00:00,31.0,61,22.6,1003.7,1001.6,0.0,0.0,17,1.99,152,5.5
2026-03-01 08:00:00,31.3,59,22.4,1002.9,1000.8,0.0,0.0,64,2.89,152,6.6
2026-03-01 09:00:00,30.2,64,22.8,1002.7,1000.6,0.7,0.7,63,3.42,155,7.3
2026-03-01 10:00:00,29.0,71,23.1,1003.0,1000.8,0.0,0.0,24,5.01,130,9.1
2026-03-01 11:00:00,27.3,80,23.5,1003.4,1001.2,0.0,0.0,1,4.88,137,9.8
2026-03-01 12:00:00,26.9,84,24.0,1003.7,1001.5,0.0,0.0,12,4.3,126,9.0
2026-03-01 13:00:00,26.0,88,23.9,1004.5,1002.3,0.0,0.0,7,4.27,142,8.0
2026-03-01 14:00:00,25.2,92,23.8,1005.3,1003.1,0.0,0.0,8,4.04,149,8.0
2026-03-01 15:00:00,24.6,94,23.5,1006.6,1004.4,0.0,0.0,67,0.36,106,7.8
2026-03-01 16:00:00,24.0,97,23.4,1006.9,1004.7,0.0,0.0,55,2.69,43,5.4
2026-03-01 17:00:00,23.9,97,23.3,1006.4,1004.2,0.0,0.0,40,3.31,119,6.0
2026-03-01 18:00:00,24.2,97,23.8,1005.9,1003.7,0.0,0.0,5,3.72,119,6.6
2026-03-01 19:00:00,24.0,98,23.5,1005.7,1003.5,0.0,0.0,14,3.0,120,6.9
2026-03-01 20:00:00,23.6,98,23.2,1005.7,1003.5,0.0,0.0,100,1.75,114,5.5
2026-03-01 21:00:00,23.5,98,23.2,1005.8,1003.6,0.0,0.0,100,1.94,108,3.5
2026-03-01 22:00:00,23.6,97,23.2,1006.4,1004.2,0.0,0.0,100,2.33,113,4.2
2026-03-01 23:00:00,23.5,97,23.0,1007.0,1004.8,0.0,0.0,100,2.46,117,4.4
2026-03-02 00:00:00,23.8,97,23.2,1008.0,1005.8,0.0,0.0,100,2.71,113,4.4
2026-03-02 01:00:00,24.6,92,23.3,1008.8,1006.6,0.0,0.0,100,3.0,123,6.0
2026-03-02 02:00:00,25.4,89,23.4,1009.3,1007.1,0.0,0.0,100,2.41,133,6.0
2026-03-02 03:00:00,26.0,87,23.6,1009.7,1007.5,0.1,0.1,100,1.03,129,5.2
2026-03-02 04:00:00,27.5,80,23.6,1009.3,1007.1,0.2,0.2,100,0.67,117,3.6
2026-03-02 05:00:00,28.6,76,23.9,1008.4,1006.2,0.0,0.0,48,1.1,120,3.8
2026-03-02 06:00:00,29.8,68,23.1,1007.3,1005.1,0.0,0.0,34,2.04,144,5.2
2026-03-02 07:00:00,30.5,64,23.0,1006.1,1004.0,0.0,0.0,17,2.36,148,6.1
2026-03-02 08:00:00,30.8,62,22.6,1005.2,1003.1,0.0,0.0,16,2.79,134,6.5
2026-03-02 09:00:00,30.8,61,22.3,1004.8,1002.7,0.0,0.0,9,3.04,123,6.8
2026-03-02 10:00:00,29.7,67,23.0,1005.2,1003.0,0.0,0.0,5,4.45,125,8.0
2026-03-02 11:00:00,27.5,77,23.0,1005.6,1003.4,0.0,0.0,5,3.73,125,8.9
2026-03-02 12:00:00,26.1,85,23.4,1005.7,1003.5,0.0,0.0,30,3.05,113,6.9
2026-03-02 13:00:00,25.6,93,24.5,1006.8,1004.6,0.0,0.0,5,2.28,116,5.6
