datetime,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,european_aqi
2024-06-01 00:00:00,74.0,105.7,1487.0,45.7,47.3,55.0,113,73
2024-06-01 01:00:00,55.3,78.9,1235.0,35.3,42.3,91.0,120,75
2024-06-01 02:00:00,45.2,64.5,884.0,21.0,35.3,140.0,124,76
2024-06-01 03:00:00,44.8,64.3,609.0,10.0,29.4,177.0,127,77
2024-06-01 04:00:00,44.7,64.0,483.0,5.5,25.4,191.0,130,78
2024-06-01 05:00:00,43.3,62.2,431.0,4.4,22.4,192.0,133,79
2024-06-01 06:00:00,40.2,57.7,402.0,4.2,21.0,192.0,136,80
2024-06-01 07:00:00,39.2,56.5,368.0,3.6,21.2,194.0,138,81
2024-06-01 08:00:00,41.8,60.1,356.0,4.0,23.0,194.0,140,81
2024-06-01 09:00:00,47.0,67.5,394.0,6.9,26.7,189.0,156,82
2024-06-01 10:00:00,55.5,79.6,519.0,14.6,33.8,175.0,172,83
2024-06-01 11:00:00,67.1,96.2,695.0,24.8,42.8,156.0,177,84
2024-06-01 12:00:00,71.7,102.4,829.0,30.1,45.9,142.0,174,86
2024-06-01 13:00:00,77.5,111.1,862.0,29.5,48.3,128.0,166,86
2024-06-01 14:00:00,79.9,114.6,904.0,28.7,51.3,108.0,156,87
2024-06-01 15:00:00,80.6,115.9,920.0,27.7,52.1,91.0,151,87
2024-06-01 16:00:00,77.5,112.2,889.0,26.4,48.8,80.0,151,87
2024-06-01 17:00:00,71.2,103.6,831.0,24.9,43.3,72.0,151,86
2024-06-01 18:00:00,65.0,94.3,770.0,23.5,38.1,66.0,151,86
2024-06-01 19:00:00,57.9,83.8,711.0,22.0,33.6,61.0,151,86
2024-06-01 20:00:00,50.5,73.3,649.0,20.6,29.4,57.0,151,86
2024-06-01 21:00:00,44.2,64.5,592.0,19.6,26.8,55.0,151,86
2024-06-01 22:00:00,40.0,58.3,543.0,19.9,27.0,53.0,151,85
2024-06-01 23:00:00,37.7,54.9,500.0,20.7,28.8,52.0,151,85
2024-06-02 00:00:00,30.5,44.7,549.0,20.1,25.2,55.0,150,85
2024-06-02 01:00:00,27.8,40.6,513.0,17.1,26.9,83.0,148,84
2024-06-02 02:00:00,31.7,45.9,464.0,13.0,29.2,123.0,145,83
2024-06-02 03:00:00,39.1,56.2,433.0,9.5,30.6,162.0,143,82
2024-06-02 04:00:00,45.4,65.2,435.0,7.3,30.4,200.0,143,82
2024-06-02 05:00:00,52.2,74.7,454.0,5.8,29.3,237.0,143,82
2024-06-02 06:00:00,57.3,82.2,473.0,5.3,28.4,260.0,144,83
2024-06-02 07:00:00,58.7,84.3,472.0,5.7,27.8,265.0,145,84
2024-06-02 08:00:00,57.9,83.1,471.0,7.1,27.3,256.0,158,84
2024-06-02 09:00:00,60.3,86.6,512.0,10.5,27.7,237.0,190,84
2024-06-02 10:00:00,59.1,84.8,629.0,17.7,29.3,201.0,206,85
2024-06-02 11:00:00,60.8,86.8,787.0,26.9,31.7,154.0,212,85
2024-06-02 12:00:00,57.5,82.2,941.0,36.5,30.6,99.0,211,84
2024-06-02 13:00:00,58.3,83.4,991.0,35.3,31.5,92.0,204,84
2024-06-02 14:00:00,60.1,85.7,1056.0,33.5,32.6,81.0,187,83
2024-06-02 15:00:00,65.4,93.6,1070.0,31.2,33.0,73.0,158,83
2024-06-02 16:00:00,61.7,88.2,990.0,28.0,32.0,70.0,143,82
2024-06-02 17:00:00,54.9,78.7,859.0,24.4,30.3,68.0,141,82
2024-06-02 18:00:00,48.2,68.9,746.0,21.6,28.7,65.0,140,81
2024-06-02 19:00:00,42.3,60.3,677.0,20.4,27.3,58.0,138,81
2024-06-02 20:00:00,38.8,55.4,625.0,20.0,25.9,49.0,136,80
2024-06-02 21:00:00,35.0,50.1,576.0,19.6,24.9,43.0,135,80
2024-06-02 22:00:00,31.0,44.5,522.0,18.8,24.2,40.0,134,79
2024-06-02 23:00:00,23.5,33.8,470.0,17.9,23.9,38.0,133,79
2024-06-03 00:00:00,13.2,18.9,516.0,18.3,22.3,38.0,132,79
2024-06-03 01:00:00,10.1,14.4,470.0,16.6,26.1,58.0,130,78
2024-06-03 02:00:00,11.8,17.0,408.0,14.1,31.2,88.0,128,77
2024-06-03 03:00:00,20.0,28.6,370.0,11.7,33.6,119.0,126,77
2024-06-03 04:00:00,31.4,44.9,376.0,9.3,30.8,155.0,124,76
2024-06-03 05:00:00,38.2,54.6,406.0,6.9,25.4,193.0,123,76
2024-06-03 06:00:00,41.8,59.6,438.0,6.1,21.3,218.0,121,76
2024-06-03 07:00:00,45.5,65.0,466.0,7.7,20.1,223.0,120,77
2024-06-03 08:00:00,47.5,67.8,497.0,10.7,20.1,216.0,118,76
2024-06-03 09:00:00,48.1,68.7,525.0,13.9,21.1,200.0,137,74
2024-06-03 10:00:00,50.1,71.5,548.0,17.2,22.9,173.0,163,73
2024-06-03 11:00:00,47.7,68.2,568.0,20.6,25.6,138.0,176,73
2024-06-03 12:00:00,55.6,79.4,600.0,21.1,26.7,125.0,179,73
2024-06-03 13:00:00,51.0,72.9,605.0,20.9,30.3,115.0,174,73
2024-06-03 14:00:00,51.3,73.6,610.0,20.6,35.1,101.0,162,72
2024-06-03 15:00:00,51.7,74.0,603.0,20.2,38.2,88.0,141,72
2024-06-03 16:00:00,51.5,73.6,575.0,19.5,37.9,77.0,112,72
2024-06-03 17:00:00,45.9,65.7,535.0,18.7,35.9,68.0,109,71
2024-06-03 18:00:00,38.9,55.6,493.0,17.8,33.8,60.0,108,71
2024-06-03 19:00:00,32.8,47.0,445.0,16.7,31.9,54.0,107,71
