datetime,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,european_aqi
2024-09-01 00:00:00,26.1,37.6,426.0,18.4,31.1,46.0,118,74
2024-09-01 01:00:00,25.5,36.9,417.0,16.6,31.6,63.0,117,74
2024-09-01 02:00:00,27.5,39.9,403.0,14.0,32.2,87.0,115,73
2024-09-01 03:00:00,30.9,44.8,387.0,11.5,32.3,111.0,113,73
2024-09-01 04:00:00,33.6,48.9,367.0,9.1,31.5,133.0,113,73
2024-09-01 05:00:00,37.1,53.9,344.0,6.7,30.3,154.0,113,72
2024-09-01 06:00:00,39.7,57.7,331.0,5.4,29.4,170.0,112,72
2024-09-01 07:00:00,42.3,61.2,327.0,5.2,29.0,181.0,112,72
2024-09-01 08:00:00,44.2,64.3,331.0,5.9,28.9,185.0,112,72
2024-09-01 09:00:00,46.7,67.5,354.0,8.5,29.9,178.0,112,72
2024-09-01 10:00:00,43.2,62.4,403.0,14.2,32.6,149.0,122,72
2024-09-01 11:00:00,39.0,56.3,472.0,21.6,36.3,108.0,135,72
2024-09-01 12:00:00,45.9,66.4,604.0,29.6,40.3,69.0,134,72
2024-09-01 13:00:00,44.4,64.0,651.0,30.6,42.0,60.0,120,72
2024-09-01 14:00:00,46.6,67.3,715.0,31.8,44.3,48.0,110,71
2024-09-01 15:00:00,51.1,73.6,750.0,32.4,45.5,39.0,109,71
2024-09-01 16:00:00,51.1,73.6,733.0,31.8,44.4,35.0,109,71
2024-09-01 17:00:00,49.1,70.5,687.0,30.4,42.3,33.0,109,71
2024-09-01 18:00:00,46.4,66.8,640.0,29.1,40.4,32.0,109,71
2024-09-01 19:00:00,41.7,60.1,599.0,27.9,39.4,30.0,109,71
2024-09-01 20:00:00,41.3,59.6,558.0,26.8,38.7,29.0,109,71
2024-09-01 21:00:00,39.9,57.5,522.0,25.7,38.4,29.0,110,71
2024-09-01 22:00:00,36.8,52.9,496.0,25.0,38.7,30.0,110,72
2024-09-01 23:00:00,34.6,49.9,476.0,24.4,39.3,33.0,111,72
2024-09-02 00:00:00,36.4,52.7,546.0,26.6,41.0,34.0,112,72
2024-09-02 01:00:00,33.2,48.3,477.0,22.3,40.1,50.0,113,72
2024-09-02 02:00:00,27.4,40.2,383.0,16.3,38.8,73.0,114,73
2024-09-02 03:00:00,28.5,41.7,313.0,11.3,37.0,98.0,114,73
2024-09-02 04:00:00,33.1,48.0,292.0,8.1,34.4,128.0,113,73
2024-09-02 05:00:00,38.4,55.8,296.0,5.8,31.3,160.0,113,73
2024-09-02 06:00:00,42.3,61.0,306.0,4.5,29.0,185.0,113,73
2024-09-02 07:00:00,45.9,66.1,309.0,4.0,27.7,203.0,114,73
2024-09-02 08:00:00,49.4,71.2,319.0,4.5,27.1,214.0,114,75
2024-09-02 09:00:00,52.3,75.4,351.0,6.8,28.0,211.0,115,75
2024-09-02 10:00:00,51.2,73.8,425.0,12.2,31.0,186.0,137,73
2024-09-02 11:00:00,54.6,78.7,522.0,19.4,35.3,148.0,158,74
2024-09-02 12:00:00,48.8,69.6,800.0,33.1,33.7,94.0,166,74
2024-09-02 13:00:00,49.2,70.3,807.0,31.8,36.2,84.0,161,74
2024-09-02 14:00:00,50.6,72.4,818.0,29.9,39.6,70.0,148,74
2024-09-02 15:00:00,52.2,74.5,824.0,28.9,42.5,58.0,124,74
2024-09-02 16:00:00,53.2,76.1,832.0,29.8,44.6,49.0,119,74
2024-09-02 17:00:00,52.9,75.7,836.0,31.5,46.2,41.0,119,75
2024-09-02 18:00:00,53.8,76.8,814.0,31.7,46.3,36.0,120,75
2024-09-02 19:00:00,51.1,73.1,742.0,28.8,43.7,34.0,120,75
2024-09-02 20:00:00,45.3,64.7,643.0,24.4,39.7,35.0,121,75
2024-09-02 21:00:00,43.0,61.5,568.0,21.2,37.3,37.0,122,75
2024-09-02 22:00:00,43.3,61.9,545.0,21.1,38.4,37.0,122,75
2024-09-02 23:00:00,43.3,61.9,546.0,22.3,41.1,38.0,123,76
2024-09-03 00:00:00,28.5,40.7,591.0,21.0,34.4,41.0,124,76
2024-09-03 01:00:00,27.9,39.9,528.0,17.1,36.8,68.0,123,76
2024-09-03 02:00:00,29.0,41.6,441.0,11.8,39.9,106.0,122,76
2024-09-03 03:00:00,31.4,45.1,373.0,7.5,40.5,137.0,122,76
2024-09-03 04:00:00,33.3,47.8,344.0,5.3,36.3,156.0,123,76
2024-09-03 05:00:00,32.5,46.8,334.0,4.3,29.7,169.0,123,76
2024-09-03 06:00:00,32.8,47.4,330.0,3.9,24.4,178.0,122,76
2024-09-03 07:00:00,34.8,50.2,298.0,2.5,21.0,187.0,121,75
2024-09-03 08:00:00,37.3,53.7,273.0,1.7,18.8,192.0,120,75
2024-09-03 09:00:00,39.8,57.4,345.0,6.2,19.9,186.0,120,74
2024-09-03 10:00:00,42.0,60.5,597.0,20.9,26.3,162.0,145,74
2024-09-03 11:00:00,54.0,77.5,946.0,40.9,35.9,127.0,155,74
2024-09-03 12:00:00,75.0,107.3,1407.0,67.5,48.7,89.0,154,74
2024-09-03 13:00:00,96.4,137.8,1716.0,74.0,58.1,73.0,141,75
2024-09-03 14:00:00,112.2,160.7,2137.0,82.6,70.9,52.0,124,76
2024-09-03 15:00:00,122.0,174.2,2408.0,86.4,79.2,37.0,131,78
2024-09-03 16:00:00,120.6,172.3,2387.0,81.2,78.8,34.0,138,80
2024-09-03 17:00:00,117.3,167.6,2217.0,71.2,74.0,38.0,145,83
2024-09-03 18:00:00,115.9,165.8,2062.0,62.3,69.9,40.0,150,85
2024-09-03 19:00:00,116.6,166.7,1971.0,56.5,68.1,37.0,152,87
2024-09-03 20:00:00,119.2,170.9,1895.0,51.7,67.1,33.0,153,89
2024-09-03 21:00:00,122.0,174.6,1854.0,48.4,66.8,32.0,155,92
2024-09-03 22:00:00,122.9,175.6,1915.0,48.3,68.4,31.0,156,94
2024-09-03 23:00:00,126.2,180.2,2010.0,49.5,70.8,32.0,158,97
2024-09-04 00:00:00,136.4,195.1,2101.0,51.0,73.1,57.0,160,100
2024-09-04 01:00:00,131.8,188.6,1699.0,39.2,71.7,110.0,162,103
2024-09-04 02:00:00,117.8,168.6,1143.0,23.0,69.3,182.0,165,107
2024-09-04 03:00:00,95.0,136.0,716.0,10.6,64.4,236.0,167,110
2024-09-04 04:00:00,78.7,112.7,548.0,5.8,54.8,252.0,168,112
2024-09-04 05:00:00,71.5,102.2,509.0,4.8,42.6,250.0,169,113
2024-09-04 06:00:00,69.2,99.2,496.0,4.8,33.4,247.0,170,115
2024-09-04 07:00:00,70.5,101.3,450.0,3.5,28.7,254.0,171,116
2024-09-04 08:00:00,72.9,104.5,430.0,3.0,26.9,261.0,191,117
2024-09-04 09:00:00,75.9,109.0,511.0,7.3,28.3,254.0,210,118
2024-09-04 10:00:00,81.0,115.9,773.0,20.8,34.5,223.0,219,119
2024-09-04 11:00:00,94.3,135.0,1136.0,38.9,43.9,180.0,222,121
2024-09-04 12:00:00,108.5,155.1,1561.0,59.3,56.3,141.0,218,122
2024-09-04 13:00:00,126.2,180.2,1690.0,58.7,59.9,121.0,211,123
2024-09-04 14:00:00,129.9,185.8,1862.0,57.7,64.8,92.0,202,124
2024-09-04 15:00:00,129.9,186.3,1958.0,56.2,68.2,69.0,181,125
2024-09-04 16:00:00,127.6,182.5,1903.0,53.9,68.2,56.0,177,125
2024-09-04 17:00:00,120.1,171.8,1771.0,51.2,66.7,48.0,177,125
2024-09-04 18:00:00,117.6,168.1,1662.0,48.5,66.0,42.0,177,125
2024-09-04 19:00:00,118.5,170.0,1610.0,46.2,67.8,38.0,177,125
2024-09-04 20:00:00,119.7,171.8,1580.0,44.0,70.4,37.0,177,125
2024-09-04 21:00:00,120.6,172.8,1568.0,41.8,71.0,38.0,177,125
2024-09-04 22:00:00,118.5,169.5,1615.0,40.2,68.3,37.0,177,125
2024-09-04 23:00:00,116.2,166.2,1680.0,38.6,63.6,39.0,177,125
2024-09-05 00:00:00,118.3,169.0,1837.0,40.6,57.5,49.0,177,125
2024-09-05 01:00:00,115.5,165.3,1537.0,31.5,53.6,113.0,176,124
2024-09-05 02:00:00,101.3,144.8,1119.0,18.9,47.9,201.0,176,124
2024-09-05 03:00:00,80.6,115.0,780.0,9.3,41.0,259.0,176,123
2024-09-05 04:00:00,61.2,87.5,599.0,5.4,32.0,259.0,175,123
2024-09-05 05:00:00,45.6,65.2,497.0,4.3,21.8,230.0,175,122
2024-09-05 06:00:00,37.3,53.3,432.0,4.3,14.5,203.0,174,121
2024-09-05 07:00:00,32.8,47.0,389.0,4.3,11.9,191.0,174,120
2024-09-05 08:00:00,30.9,44.2,383.0,5.2,12.1,181.0,177,119
2024-09-05 09:00:00,27.8,39.8,414.0,8.2,13.2,166.0,199,118
2024-09-05 10:00:00,25.3,36.3,505.0,15.3,15.2,138.0,203,116
2024-09-05 11:00:00,27.8,39.9,632.0,24.4,18.3,105.0,197,114
2024-09-05 12:00:00,33.5,48.1,655.0,24.5,18.7,96.0,172,112
2024-09-05 13:00:00,32.8,47.0,730.0,27.1,21.0,83.0,166,109
2024-09-05 14:00:00,37.4,53.6,831.0,30.6,24.2,66.0,164,106
2024-09-05 15:00:00,41.1,58.8,891.0,32.5,26.3,53.0,162,103
2024-09-05 16:00:00,41.9,60.1,881.0,31.7,26.4,48.0,160,100
2024-09-05 17:00:00,38.9,55.8,830.0,29.4,25.5,47.0,159,97
2024-09-05 18:00:00,37.6,53.8,762.0,26.5,24.3,49.0,157,95
2024-09-05 19:00:00,34.7,49.6,673.0,23.1,23.1,55.0,155,92
2024-09-05 20:00:00,31.0,44.2,567.0,19.2,21.5,65.0,153,89
2024-09-05 21:00:00,26.9,38.5,483.0,16.0,19.8,72.0,151,86
2024-09-05 22:00:00,23.2,33.2,436.0,14.3,17.6,73.0,146,83
2024-09-05 23:00:00,19.7,28.3,411.0,13.4,15.1,71.0,136,80
2024-09-06 00:00:00,24.6,35.3,515.0,15.0,15.6,66.0,126,77
2024-09-06 01:00:00,28.1,40.4,489.0,12.3,14.7,91.0,116,74
2024-09-06 02:00:00,27.2,39.1,452.0,8.5,13.4,125.0,107,71
2024-09-06 03:00:00,25.8,37.1,420.0,5.5,12.0,150.0,100,68
2024-09-06 04:00:00,25.2,36.3,397.0,3.8,10.2,161.0,95,66
2024-09-06 05:00:00,24.2,34.9,379.0,3.0,8.4,163.0,92,66
2024-09-06 06:00:00,23.3,33.6,372.0,3.3,7.4,158.0,90,65
2024-09-06 07:00:00,22.5,32.5,377.0,5.2,7.9,144.0,88,64
2024-09-06 08:00:00,22.8,32.9,392.0,8.4,9.3,123.0,92,64
2024-09-06 09:00:00,22.8,32.9,420.0,11.8,10.9,104.0,104,63
2024-09-06 10:00:00,24.6,35.4,476.0,16.0,12.6,88.0,106,63
2024-09-06 11:00:00,25.0,35.9,545.0,20.4,14.5,74.0,99,63
2024-09-06 12:00:00,44.7,64.5,897.0,41.3,23.6,57.0,86,63
2024-09-06 13:00:00,35.3,50.8,766.0,32.3,19.7,63.0,87,64
2024-09-06 14:00:00,28.3,40.9,585.0,19.8,14.2,71.0,87,64
2024-09-06 15:00:00,25.0,36.2,446.0,10.5,10.1,76.0,86,63
2024-09-06 16:00:00,23.6,34.1,392.0,7.7,8.7,76.0,85,63
2024-09-06 17:00:00,21.0,30.3,381.0,8.1,8.6,73.0,83,62
2024-09-06 18:00:00,18.9,27.2,371.0,8.4,8.4,72.0,82,62
2024-09-06 19:00:00,17.1,24.6,349.0,7.2,7.5,74.0,80,61
2024-09-06 20:00:00,15.3,22.1,329.0,5.9,6.4,77.0,79,60
2024-09-06 21:00:00,13.7,19.7,317.0,5.1,5.7,80.0,77,59
2024-09-06 22:00:00,11.5,16.5,318.0,5.2,5.6,81.0,76,57
2024-09-06 23:00:00,9.6,13.8,327.0,5.9,5.9,82.0,75,55
2024-09-07 00:00:00,12.7,18.3,352.0,7.1,6.8,76.0,74,53
2024-09-07 01:00:00,11.9,17.2,348.0,7.1,6.6,75.0,73,51
2024-09-07 02:00:00,9.8,14.1,342.0,7.2,6.4,74.0,72,49
2024-09-07 03:00:00,7.8,11.2,335.0,7.2,6.2,72.0,70,46
2024-09-07 04:00:00,6.3,9.1,327.0,7.2,6.2,70.0,68,43
2024-09-07 05:00:00,5.8,8.4,317.0,7.1,6.3,68.0,67,40
2024-09-07 06:00:00,5.6,8.1,307.0,7.1,6.4,66.0,65,38
2024-09-07 07:00:00,5.3,7.5,296.0,7.1,6.5,66.0,64,37
2024-09-07 08:00:00,4.6,6.6,284.0,7.2,6.6,66.0,62,35
2024-09-07 09:00:00,4.0,5.8,277.0,7.3,6.7,67.0,60,34
2024-09-07 10:00:00,3.9,5.6,274.0,7.3,6.7,68.0,59,32
2024-09-07 11:00:00,3.8,5.4,276.0,7.4,6.8,69.0,57,31
2024-09-07 12:00:00,3.9,5.6,314.0,9.9,9.6,61.0,55,29
2024-09-07 13:00:00,5.3,7.6,355.0,12.2,12.6,56.0,51,25
2024-09-07 14:00:00,7.5,10.8,410.0,15.1,16.6,49.0,48,23
2024-09-07 15:00:00,10.7,15.3,433.0,16.4,18.7,45.0,44,21
2024-09-07 16:00:00,12.5,17.8,396.0,14.3,16.9,48.0,42,20
2024-09-07 17:00:00,11.3,16.1,328.0,10.4,13.2,54.0,40,22
2024-09-07 18:00:00,9.3,13.4,270.0,7.4,10.1,58.0,38,23
2024-09-07 19:00:00,7.5,10.9,237.0,6.3,8.7,58.0,36,23
2024-09-07 20:00:00,6.8,10.2,214.0,6.1,7.9,55.0,35,22
2024-09-07 21:00:00,6.8,10.3,203.0,6.4,7.7,52.0,33,21
2024-09-07 22:00:00,7.0,10.5,207.0,7.3,8.2,49.0,32,20
2024-09-07 23:00:00,7.0,10.5,222.0,8.8,9.2,45.0,31,18
2024-09-08 00:00:00,7.9,11.5,282.0,12.7,13.9,40.0,31,16
2024-09-08 01:00:00,10.8,15.8,307.0,13.4,14.7,38.0,30,15
2024-09-08 02:00:00,13.4,19.7,342.0,14.4,15.9,36.0,30,14
2024-09-08 03:00:00,15.9,23.4,362.0,14.4,16.8,42.0,30,17
2024-09-08 04:00:00,18.2,26.7,352.0,12.3,17.1,64.0,32,26
2024-09-08 05:00:00,20.5,30.3,327.0,9.2,17.0,93.0,34,37
2024-09-08 06:00:00,24.1,35.5,315.0,7.8,17.4,111.0,36,47
2024-09-08 07:00:00,24.9,36.7,327.0,9.6,18.5,109.0,40,46
2024-09-08 08:00:00,24.6,36.0,351.0,13.0,20.0,97.0,43,39
2024-09-08 09:00:00,24.4,35.7,380.0,16.4,21.2,85.0,46,34
2024-09-08 10:00:00,25.6,37.4,424.0,19.8,22.3,75.0,50,30
2024-09-08 11:00:00,26.9,39.2,474.0,23.0,23.2,64.0,52,26
2024-09-08 12:00:00,30.4,44.6,554.0,27.6,26.9,61.0,54,28
2024-09-08 13:00:00,29.1,43.0,525.0,25.0,24.8,58.0,56,30
