datetime,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,european_aqi
2024-11-01 00:00:00,27.8,41.2,1168.0,19.8,18.8,50.0,158,97
2024-11-01 01:00:00,26.3,39.2,1053.0,15.6,18.2,69.0,157,96
2024-11-01 02:00:00,24.6,36.8,812.0,9.7,17.4,95.0,156,94
2024-11-01 03:00:00,24.2,35.9,620.0,5.3,16.3,116.0,156,93
2024-11-01 04:00:00,21.9,32.2,526.0,3.3,14.7,127.0,155,92
2024-11-01 05:00:00,19.6,28.8,480.0,2.7,13.0,133.0,154,91
2024-11-01 06:00:00,17.6,25.9,502.0,3.5,11.9,134.0,154,91
2024-11-01 07:00:00,16.2,23.7,626.0,6.0,11.9,129.0,154,90
2024-11-01 08:00:00,16.0,23.4,818.0,9.9,12.7,120.0,153,89
2024-11-01 09:00:00,19.0,27.6,999.0,13.6,13.8,108.0,153,89
2024-11-01 10:00:00,25.2,36.4,1187.0,17.4,15.6,93.0,153,88
2024-11-01 11:00:00,26.2,37.8,1363.0,21.0,17.9,76.0,152,87
2024-11-01 12:00:00,24.7,35.6,1398.0,26.0,21.7,69.0,151,86
2024-11-01 13:00:00,19.4,28.2,1169.0,21.4,20.2,73.0,148,84
2024-11-01 14:00:00,19.0,27.9,797.0,15.2,18.1,79.0,138,81
2024-11-01 15:00:00,20.5,30.3,520.0,10.7,16.3,82.0,127,77
2024-11-01 16:00:00,21.2,31.3,445.0,9.8,15.3,78.0,115,73
2024-11-01 17:00:00,20.8,30.6,463.0,10.8,14.7,71.0,104,70
2024-11-01 18:00:00,20.4,30.2,486.0,11.4,14.1,65.0,95,66
2024-11-01 19:00:00,19.7,29.3,457.0,10.5,13.1,62.0,87,64
2024-11-01 20:00:00,19.4,28.8,433.0,9.3,12.1,61.0,81,61
2024-11-01 21:00:00,19.4,28.9,492.0,9.4,12.0,59.0,76,57
2024-11-01 22:00:00,20.0,29.7,746.0,12.7,13.8,53.0,72,50
2024-11-01 23:00:00,22.7,33.8,1084.0,17.4,16.5,46.0,70,46
2024-11-02 00:00:00,23.9,35.4,1245.0,17.5,17.3,51.0,70,45
2024-11-02 01:00:00,24.2,35.9,1057.0,13.8,16.6,67.0,69,45
2024-11-02 02:00:00,21.9,33.2,692.0,8.7,15.6,90.0,69,44
2024-11-02 03:00:00,23.3,35.7,411.0,4.9,14.7,109.0,69,46
2024-11-02 04:00:00,24.7,38.4,310.0,3.2,13.8,121.0,69,54
2024-11-02 05:00:00,25.3,39.7,291.0,2.8,13.1,129.0,69,59
2024-11-02 06:00:00,25.6,40.2,324.0,3.4,12.8,132.0,70,60
2024-11-02 07:00:00,25.6,40.3,325.0,4.3,12.9,130.0,70,60
2024-11-02 08:00:00,25.8,40.5,377.0,6.3,13.4,124.0,71,56
2024-11-02 09:00:00,28.2,43.8,699.0,11.5,15.5,112.0,72,50
2024-11-02 10:00:00,37.5,56.7,1645.0,24.2,21.1,88.0,73,51
2024-11-02 11:00:00,48.4,72.2,2860.0,40.0,28.1,59.0,74,53
2024-11-02 12:00:00,57.7,84.5,3497.0,72.6,45.0,29.0,76,57
2024-11-02 13:00:00,54.4,79.6,2967.0,62.3,40.6,30.0,79,60
2024-11-02 14:00:00,47.4,69.8,1859.0,47.8,34.4,32.0,82,62
2024-11-02 15:00:00,45.3,66.8,1094.0,35.9,28.7,34.0,85,63
2024-11-02 16:00:00,42.1,62.6,1167.0,29.2,24.0,37.0,87,63
2024-11-02 17:00:00,36.4,54.6,1582.0,25.1,19.7,41.0,89,64
2024-11-02 18:00:00,31.3,47.4,1776.0,21.5,16.4,45.0,90,65
2024-11-02 19:00:00,28.9,44.1,1410.0,17.6,14.4,48.0,91,65
2024-11-02 20:00:00,27.8,42.6,823.0,14.3,13.5,51.0,92,65
2024-11-02 21:00:00,26.6,41.2,464.0,12.7,13.4,52.0,93,66
2024-11-02 22:00:00,26.0,40.5,611.0,14.4,14.5,49.0,93,66
2024-11-02 23:00:00,27.5,42.7,987.0,17.7,16.4,44.0,94,66
2024-11-03 00:00:00,26.4,40.4,1209.0,20.3,18.7,43.0,94,66
2024-11-03 01:00:00,29.8,45.6,1074.0,16.3,20.9,64.0,94,66
2024-11-03 02:00:00,33.3,51.8,786.0,10.8,24.0,92.0,95,66
2024-11-03 03:00:00,41.8,64.7,570.0,6.7,26.0,116.0,96,67
2024-11-03 04:00:00,45.8,70.5,506.0,4.7,25.9,131.0,98,67
2024-11-03 05:00:00,45.2,69.6,514.0,4.1,24.7,140.0,99,68
2024-11-03 06:00:00,43.2,66.4,586.0,5.3,23.9,142.0,101,69
2024-11-03 07:00:00,39.3,60.3,696.0,7.8,23.0,134.0,103,69
2024-11-03 08:00:00,39.2,59.6,868.0,12.1,22.4,119.0,105,70
2024-11-03 09:00:00,44.2,66.8,1168.0,20.5,24.8,100.0,106,70
2024-11-03 10:00:00,53.9,80.6,1688.0,37.5,32.6,75.0,108,71
2024-11-03 11:00:00,67.1,99.2,2334.0,58.5,43.3,46.0,109,71
2024-11-03 12:00:00,77.1,112.0,2894.0,71.8,60.9,22.0,111,72
2024-11-03 13:00:00,86.8,126.2,3336.0,67.9,63.6,20.0,113,73
2024-11-03 14:00:00,90.6,131.3,3692.0,62.4,66.8,16.0,117,74
2024-11-03 15:00:00,90.1,130.4,3837.0,56.8,65.6,14.0,121,75
2024-11-03 16:00:00,83.6,121.5,3708.0,51.9,56.2,13.0,126,77
2024-11-03 17:00:00,68.9,100.4,3369.0,46.9,42.5,14.0,130,78
2024-11-03 18:00:00,56.9,83.4,2888.0,41.4,30.7,16.0,134,79
2024-11-03 19:00:00,47.0,69.4,2141.0,34.3,22.9,22.0,136,80
2024-11-03 20:00:00,38.9,58.0,1252.0,26.7,17.0,30.0,138,81
2024-11-03 21:00:00,33.8,50.9,666.0,21.1,13.7,37.0,139,81
2024-11-03 22:00:00,31.7,48.2,660.0,19.3,14.0,40.0,140,81
2024-11-03 23:00:00,33.1,50.3,957.0,19.5,16.8,43.0,141,81
2024-11-04 00:00:00,33.4,50.2,1172.0,22.7,21.2,43.0,141,82
2024-11-04 01:00:00,36.3,54.6,1145.0,20.8,22.5,50.0,142,82
2024-11-04 02:00:00,36.2,54.5,1037.0,18.1,24.3,60.0,143,82
2024-11-04 03:00:00,36.0,54.2,942.0,15.4,25.4,70.0,143,82
2024-11-04 04:00:00,35.6,53.8,886.0,12.5,25.2,82.0,142,82
2024-11-04 05:00:00,34.5,52.0,844.0,9.6,24.4,93.0,141,82
2024-11-04 06:00:00,34.1,51.2,834.0,8.3,23.7,99.0,140,81
2024-11-04 07:00:00,32.0,47.8,874.0,10.0,23.6,93.0,139,81
2024-11-04 08:00:00,31.2,46.3,945.0,13.4,23.6,82.0,138,81
2024-11-04 09:00:00,29.6,43.8,1010.0,15.7,22.9,72.0,138,80
2024-11-04 10:00:00,26.7,39.2,1076.0,15.8,21.0,67.0,136,80
