datetime,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,european_aqi
2025-08-01 00:00:00,34.0,34.5,900.0,34.3,35.8,48.0,141,82
2025-08-01 01:00:00,33.6,33.9,835.0,33.0,36.2,53.0,139,81
2025-08-01 02:00:00,29.6,29.8,720.0,30.9,36.7,62.0,136,80
2025-08-01 03:00:00,28.5,28.6,626.0,27.6,36.2,81.0,132,79
2025-08-01 04:00:00,32.9,33.1,576.0,21.9,34.0,119.0,129,78
2025-08-01 05:00:00,41.4,41.4,546.0,15.0,30.9,166.0,128,77
2025-08-01 06:00:00,40.0,40.0,534.0,10.0,28.1,203.0,128,77
2025-08-01 07:00:00,35.0,35.2,524.0,7.1,25.4,223.0,127,77
2025-08-01 08:00:00,34.0,34.0,533.0,6.2,23.0,233.0,126,79
2025-08-01 09:00:00,34.8,34.8,607.0,9.5,22.6,231.0,125,78
2025-08-01 10:00:00,36.4,36.6,807.0,20.1,25.2,211.0,147,76
2025-08-01 11:00:00,49.7,49.8,1073.0,35.0,29.7,180.0,171,76
2025-08-01 12:00:00,46.2,47.3,1267.0,33.6,20.6,87.0,187,75
2025-08-01 13:00:00,47.8,48.7,1316.0,35.8,22.8,77.0,182,75
2025-08-01 14:00:00,55.1,55.9,1294.0,39.2,25.9,63.0,168,74
2025-08-01 15:00:00,61.5,62.2,1281.0,43.1,28.8,50.0,144,73
2025-08-01 16:00:00,68.9,69.8,1324.0,48.6,31.7,39.0,115,73
2025-08-01 17:00:00,82.0,82.9,1376.0,54.7,34.4,29.0,115,73
2025-08-01 18:00:00,81.7,82.4,1384.0,58.4,35.7,21.0,118,74
2025-08-01 19:00:00,74.3,75.0,1308.0,57.9,34.3,15.0,122,75
2025-08-01 20:00:00,69.8,70.3,1187.0,55.0,31.4,11.0,126,77
2025-08-01 21:00:00,74.0,74.7,1085.0,52.5,30.1,13.0,129,78
2025-08-01 22:00:00,84.3,85.4,1021.0,52.7,32.0,18.0,133,79
2025-08-01 23:00:00,101.3,102.9,976.0,53.3,35.5,28.0,138,81
2025-08-02 00:00:00,58.4,59.1,954.0,37.4,30.2,53.0,144,83
2025-08-02 01:00:00,53.8,53.9,985.0,30.8,31.0,96.0,147,83
2025-08-02 02:00:00,47.8,48.0,1040.0,21.7,31.9,155.0,149,84
2025-08-02 03:00:00,37.3,37.4,1031.0,14.1,31.5,202.0,150,85
2025-08-02 04:00:00,32.7,32.9,896.0,9.7,28.5,223.0,150,85
2025-08-02 05:00:00,32.2,32.5,699.0,6.8,24.1,230.0,150,85
2025-08-02 06:00:00,33.2,33.5,541.0,5.3,21.0,236.0,150,85
2025-08-02 07:00:00,34.3,34.8,457.0,4.5,19.7,246.0,150,84
2025-08-02 08:00:00,37.3,37.8,414.0,5.1,19.6,253.0,167,84
2025-08-02 09:00:00,41.7,42.4,413.0,8.2,21.6,252.0,199,84
2025-08-02 10:00:00,49.7,50.5,480.0,16.1,27.2,238.0,210,85
2025-08-02 11:00:00,63.8,64.7,589.0,26.5,35.0,216.0,216,85
2025-08-02 12:00:00,65.4,66.6,672.0,33.6,36.6,169.0,217,86
2025-08-02 13:00:00,70.5,71.5,702.0,35.8,40.4,146.0,213,86
2025-08-02 14:00:00,71.7,72.9,704.0,39.0,45.5,113.0,207,87
2025-08-02 15:00:00,71.9,73.3,690.0,41.9,48.6,85.0,198,88
2025-08-02 16:00:00,72.4,73.8,656.0,44.2,47.6,66.0,172,88
2025-08-02 17:00:00,69.8,71.2,605.0,46.3,44.6,52.0,152,88
2025-08-02 18:00:00,68.7,70.3,555.0,48.5,41.8,39.0,152,88
2025-08-02 19:00:00,69.8,71.9,486.0,51.4,39.8,26.0,152,87
2025-08-02 20:00:00,73.1,75.0,419.0,54.5,38.0,16.0,152,87
2025-08-02 21:00:00,77.8,79.9,432.0,56.0,37.4,11.0,152,87
2025-08-02 22:00:00,83.4,86.4,624.0,56.0,38.8,11.0,152,87
2025-08-02 23:00:00,85.9,90.1,898.0,54.5,41.4,17.0,152,87
2025-08-03 00:00:00,90.8,93.6,1037.0,51.0,48.1,40.0,152,87
2025-08-03 01:00:00,84.1,86.1,909.0,41.7,47.6,90.0,152,88
2025-08-03 02:00:00,78.5,81.0,647.0,28.6,46.5,158.0,153,89
2025-08-03 03:00:00,57.4,60.5,437.0,17.9,43.3,208.0,154,90
2025-08-03 04:00:00,48.5,52.2,348.0,11.6,36.2,225.0,154,91
2025-08-03 05:00:00,42.1,45.9,311.0,7.6,27.0,224.0,154,91
2025-08-03 06:00:00,35.9,39.2,298.0,5.3,19.6,215.0,155,91
2025-08-03 07:00:00,27.9,31.1,299.0,3.7,15.1,198.0,155,91
2025-08-03 08:00:00,22.4,25.1,324.0,3.8,12.5,172.0,155,91
2025-08-03 09:00:00,21.2,23.4,378.0,8.1,12.4,145.0,175,91
2025-08-03 10:00:00,25.6,27.2,493.0,19.8,16.2,118.0,184,90
2025-08-03 11:00:00,34.2,35.6,638.0,35.6,22.6,91.0,177,89
2025-08-03 12:00:00,41.2,41.8,721.0,39.9,37.9,101.0,159,88
2025-08-03 13:00:00,46.6,47.1,689.0,43.7,41.1,80.0,152,87
2025-08-03 14:00:00,47.4,48.0,597.0,48.6,45.2,50.0,152,87
2025-08-03 15:00:00,47.8,48.9,513.0,49.8,45.7,29.0,151,86
2025-08-03 16:00:00,43.4,44.7,467.0,43.6,38.9,24.0,150,85
2025-08-03 17:00:00,34.0,35.9,429.0,33.7,28.5,26.0,149,84
2025-08-03 18:00:00,28.1,30.5,389.0,26.2,20.6,28.0,145,83
2025-08-03 19:00:00,26.6,29.6,316.0,23.7,17.8,26.0,141,82
2025-08-03 20:00:00,27.5,31.1,240.0,23.6,17.6,24.0,137,80
2025-08-03 21:00:00,29.3,33.4,235.0,24.1,18.4,24.0,132,79
2025-08-03 22:00:00,31.4,36.1,381.0,25.7,20.3,23.0,127,77
2025-08-03 23:00:00,34.8,39.9,598.0,28.0,23.1,23.0,121,75
2025-08-04 00:00:00,42.1,47.0,724.0,27.9,25.0,34.0,116,74
2025-08-04 01:00:00,39.8,46.6,666.0,23.1,25.1,66.0,111,72
2025-08-04 02:00:00,36.0,44.7,518.0,15.9,24.2,109.0,106,70
2025-08-04 03:00:00,31.3,41.3,397.0,10.2,22.5,142.0,102,69
2025-08-04 04:00:00,28.3,38.3,346.0,7.3,19.6,154.0,99,68
2025-08-04 05:00:00,26.8,36.3,322.0,5.9,15.9,156.0,98,67
2025-08-04 06:00:00,26.4,34.9,314.0,5.5,13.3,154.0,96,67
2025-08-04 07:00:00,26.5,34.1,306.0,4.9,12.3,153.0,95,67
2025-08-04 08:00:00,26.4,33.4,315.0,5.3,12.4,149.0,95,67
2025-08-04 09:00:00,27.8,34.2,371.0,10.2,14.2,139.0,97,67
2025-08-04 10:00:00,36.3,41.7,517.0,23.6,18.6,117.0,112,67
2025-08-04 11:00:00,49.5,54.4,712.0,41.4,24.6,89.0,114,67
2025-08-04 12:00:00,48.1,49.9,864.0,45.5,28.6,72.0,103,68
2025-08-04 13:00:00,50.5,52.4,938.0,50.0,31.9,57.0,99,68
2025-08-04 14:00:00,54.8,57.0,968.0,55.9,36.4,36.0,99,68
2025-08-04 15:00:00,66.4,68.5,970.0,57.4,38.2,24.0,100,68
2025-08-04 16:00:00,48.7,49.8,944.0,50.3,35.1,30.0,102,69
2025-08-04 17:00:00,39.7,40.4,889.0,38.8,29.4,45.0,103,69
2025-08-04 18:00:00,38.5,39.1,814.0,30.1,24.7,55.0,103,69
2025-08-04 19:00:00,39.1,39.8,680.0,27.2,22.3,54.0,104,70
2025-08-04 20:00:00,38.9,39.5,526.0,27.1,20.9,48.0,106,70
2025-08-04 21:00:00,37.7,38.4,473.0,27.6,20.3,42.0,107,71
2025-08-04 22:00:00,38.0,38.8,633.0,28.2,20.3,37.0,108,71
2025-08-04 23:00:00,41.4,42.3,895.0,29.5,21.2,32.0,108,71
2025-08-05 00:00:00,63.3,65.7,1050.0,43.4,25.5,10.0,109,71
2025-08-05 01:00:00,58.8,61.5,988.0,40.2,30.0,26.0,111,72
2025-08-05 02:00:00,51.0,52.9,819.0,35.6,36.0,49.0,113,73
2025-08-05 03:00:00,42.6,44.5,667.0,31.3,39.7,70.0,115,73
2025-08-05 04:00:00,37.1,39.2,558.0,27.3,38.6,87.0,116,74
2025-08-05 05:00:00,37.6,39.8,465.0,23.6,35.1,102.0,117,74
2025-08-05 06:00:00,40.5,43.0,431.0,21.7,32.6,113.0,118,74
2025-08-05 07:00:00,49.4,51.8,473.0,21.6,32.1,120.0,119,75
2025-08-05 08:00:00,52.7,54.5,573.0,23.3,32.4,123.0,122,75
2025-08-05 09:00:00,58.9,60.8,719.0,28.2,33.8,121.0,125,76
2025-08-05 10:00:00,66.4,68.5,949.0,39.8,37.3,111.0,128,77
2025-08-05 11:00:00,74.3,76.4,1225.0,54.6,41.8,96.0,131,78
2025-08-05 12:00:00,113.9,119.2,1421.0,62.7,59.5,115.0,134,79
2025-08-05 13:00:00,134.6,140.2,1476.0,69.2,61.6,92.0,140,81
2025-08-05 14:00:00,151.8,157.4,1450.0,78.2,64.4,61.0,149,84
2025-08-05 15:00:00,167.2,172.3,1400.0,84.9,65.4,36.0,152,87
2025-08-05 16:00:00,186.3,193.2,1332.0,87.6,63.3,25.0,154,91
2025-08-05 17:00:00,179.7,187.2,1239.0,88.0,59.4,20.0,157,95
2025-08-05 18:00:00,171.4,178.8,1161.0,86.1,55.7,18.0,160,100
2025-08-05 19:00:00,164.8,172.8,1116.0,80.5,52.6,17.0,163,104
2025-08-05 20:00:00,153.2,160.7,1084.0,72.6,49.7,17.0,166,109
