datetime,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,european_aqi
2025-09-01 00:00:00,26.7,26.8,577.0,37.0,24.2,23.0,108,71
2025-09-01 01:00:00,22.6,22.6,599.0,30.6,24.8,42.0,108,71
2025-09-01 02:00:00,19.0,19.0,597.0,21.8,25.6,69.0,108,71
2025-09-01 03:00:00,19.0,19.0,570.0,14.4,25.6,95.0,108,71
2025-09-01 04:00:00,19.8,19.9,501.0,9.9,24.4,120.0,107,71
2025-09-01 05:00:00,22.4,22.5,408.0,6.9,22.4,145.0,108,71
2025-09-01 06:00:00,24.6,24.6,341.0,5.3,20.5,163.0,108,71
2025-09-01 07:00:00,26.4,26.5,307.0,4.4,18.6,173.0,109,71
2025-09-01 08:00:00,27.2,27.4,300.0,4.8,16.8,175.0,110,72
2025-09-01 09:00:00,27.7,27.8,350.0,8.5,16.1,165.0,111,72
2025-09-01 10:00:00,29.6,29.8,514.0,17.2,16.6,135.0,111,72
2025-09-01 11:00:00,37.3,37.5,734.0,29.2,18.2,94.0,116,72
2025-09-01 12:00:00,67.8,68.2,872.0,41.5,27.2,91.0,115,72
2025-09-01 13:00:00,71.0,71.7,843.0,43.0,28.7,76.0,113,73
2025-09-01 14:00:00,69.8,71.2,731.0,45.4,30.8,54.0,116,74
2025-09-01 15:00:00,69.8,71.7,650.0,48.6,32.7,35.0,118,74
2025-09-01 16:00:00,74.3,77.5,663.0,53.7,34.3,22.0,118,74
2025-09-01 17:00:00,80.6,83.8,706.0,59.8,35.7,12.0,120,75
2025-09-01 18:00:00,87.8,91.0,708.0,64.0,36.7,5.0,121,75
2025-09-01 19:00:00,95.0,98.5,615.0,65.6,37.4,1.0,124,76
2025-09-01 20:00:00,94.3,98.0,480.0,65.4,37.7,0.0,128,77
2025-09-01 21:00:00,101.0,104.8,387.0,62.9,36.8,1.0,132,79
2025-09-01 22:00:00,91.5,94.8,382.0,57.4,33.7,5.0,137,80
2025-09-01 23:00:00,85.4,88.5,419.0,49.7,29.3,12.0,142,82
2025-09-02 00:00:00,56.5,58.3,444.0,34.1,18.9,21.0,146,83
2025-09-02 01:00:00,35.6,38.9,438.0,28.7,18.5,37.0,149,84
2025-09-02 02:00:00,26.7,30.2,420.0,21.2,18.0,61.0,150,84
2025-09-02 03:00:00,23.5,26.1,399.0,14.8,17.3,87.0,150,85
2025-09-02 04:00:00,22.3,23.5,373.0,10.5,16.5,118.0,150,85
2025-09-02 05:00:00,24.9,25.8,343.0,7.3,15.6,153.0,150,85
2025-09-02 06:00:00,28.1,28.8,324.0,5.4,14.8,177.0,150,85
2025-09-02 07:00:00,30.0,30.7,306.0,4.4,13.9,188.0,150,85
2025-09-02 08:00:00,29.7,30.4,298.0,4.7,13.2,189.0,151,85
2025-09-02 09:00:00,29.5,30.0,346.0,8.1,13.7,179.0,151,85
2025-09-02 10:00:00,31.1,31.4,508.0,17.3,16.3,154.0,151,85
2025-09-02 11:00:00,39.7,40.0,725.0,29.6,20.2,118.0,151,85
2025-09-02 12:00:00,46.3,46.6,866.0,37.6,23.5,80.0,151,86
2025-09-02 13:00:00,55.2,56.2,861.0,40.8,25.9,65.0,150,85
2025-09-02 14:00:00,58.7,60.1,781.0,45.3,29.2,45.0,150,84
2025-09-02 15:00:00,58.2,60.3,701.0,48.8,31.3,28.0,148,84
2025-09-02 16:00:00,59.8,61.9,646.0,50.6,31.2,19.0,147,84
2025-09-02 17:00:00,59.6,61.7,592.0,51.5,30.0,13.0,146,83
2025-09-02 18:00:00,60.1,62.2,547.0,51.9,28.9,9.0,144,82
2025-09-02 19:00:00,59.5,61.5,503.0,52.4,28.4,6.0,141,81
2025-09-02 20:00:00,61.0,63.1,468.0,52.5,28.0,5.0,137,80
2025-09-02 21:00:00,65.7,68.0,468.0,51.0,28.0,6.0,134,79
2025-09-02 22:00:00,70.8,73.6,546.0,47.1,28.6,10.0,130,78
2025-09-02 23:00:00,73.6,76.4,661.0,41.6,29.4,16.0,128,77
2025-09-03 00:00:00,59.6,61.9,711.0,39.2,34.7,23.0,126,77
2025-09-03 01:00:00,40.2,43.0,632.0,33.2,35.1,36.0,127,77
2025-09-03 02:00:00,30.9,32.9,490.0,24.9,35.6,55.0,127,77
2025-09-03 03:00:00,26.1,27.0,381.0,17.8,34.6,76.0,128,77
2025-09-03 04:00:00,25.8,26.4,345.0,13.2,31.1,100.0,128,77
2025-09-03 05:00:00,26.9,27.3,342.0,9.9,26.1,127.0,128,77
2025-09-03 06:00:00,29.7,30.2,348.0,7.8,22.1,147.0,129,78
2025-09-03 07:00:00,32.0,32.4,350.0,6.3,19.6,161.0,129,78
2025-09-03 08:00:00,33.1,33.3,361.0,6.0,18.0,169.0,129,78
2025-09-03 09:00:00,33.3,33.6,402.0,8.6,17.7,165.0,129,78
2025-09-03 10:00:00,34.7,35.3,506.0,16.1,19.3,143.0,130,78
2025-09-03 11:00:00,41.4,41.8,639.0,26.3,22.2,109.0,130,78
2025-09-03 12:00:00,47.4,48.1,722.0,39.3,24.6,72.0,130,78
2025-09-03 13:00:00,49.5,50.5,709.0,41.6,26.3,56.0,130,78
2025-09-03 14:00:00,49.5,51.2,645.0,44.7,28.7,35.0,130,78
