datetime,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,european_aqi
2025-10-01 00:00:00,30.4,33.1,506.0,27.4,19.5,18.0,78,60
2025-10-01 01:00:00,30.0,33.2,473.0,23.5,19.4,29.0,80,61
2025-10-01 02:00:00,29.0,32.8,402.0,18.2,19.2,44.0,81,61
2025-10-01 03:00:00,23.8,28.3,344.0,13.8,18.5,59.0,82,62
2025-10-01 04:00:00,24.0,28.5,313.0,11.3,16.9,72.0,83,62
2025-10-01 05:00:00,24.6,27.9,296.0,9.9,14.9,85.0,83,62
2025-10-01 06:00:00,27.6,31.0,301.0,9.0,13.5,96.0,84,62
2025-10-01 07:00:00,29.2,32.5,331.0,7.5,13.0,108.0,85,63
2025-10-01 08:00:00,30.0,33.1,383.0,6.7,13.1,119.0,86,63
2025-10-01 09:00:00,29.5,32.1,459.0,9.9,14.3,118.0,87,63
2025-10-01 10:00:00,31.8,33.9,588.0,20.9,17.5,96.0,88,64
2025-10-01 11:00:00,41.8,43.7,741.0,36.0,21.8,63.0,89,64
2025-10-01 12:00:00,68.7,70.5,837.0,65.6,34.3,16.0,90,65
2025-10-01 13:00:00,79.4,81.3,829.0,66.6,38.4,13.0,94,66
2025-10-01 14:00:00,81.5,83.8,764.0,67.7,43.8,8.0,98,68
2025-10-01 15:00:00,84.5,88.5,706.0,66.5,46.6,4.0,102,69
2025-10-01 16:00:00,79.2,82.7,676.0,61.2,44.4,3.0,107,71
2025-10-01 17:00:00,71.0,74.5,653.0,53.7,39.5,2.0,112,72
2025-10-01 18:00:00,66.1,69.2,634.0,47.3,35.3,2.0,116,74
2025-10-01 19:00:00,64.5,67.8,611.0,43.5,32.8,1.0,120,75
2025-10-01 20:00:00,65.0,68.2,594.0,40.8,31.0,0.0,124,76
2025-10-01 21:00:00,62.6,65.9,606.0,38.5,29.8,0.0,127,77
2025-10-01 22:00:00,58.7,61.7,695.0,36.7,29.3,1.0,130,78
2025-10-01 23:00:00,65.4,68.2,814.0,35.3,29.5,3.0,133,79
2025-10-02 00:00:00,56.5,58.4,850.0,29.4,27.1,10.0,136,80
2025-10-02 01:00:00,42.0,44.0,718.0,26.2,28.5,20.0,139,81
2025-10-02 02:00:00,33.2,35.6,502.0,21.6,30.3,35.0,140,81
2025-10-02 03:00:00,25.7,28.7,340.0,17.5,30.7,52.0,140,81
2025-10-02 04:00:00,22.5,23.8,291.0,14.2,28.2,74.0,141,81
2025-10-02 05:00:00,23.7,24.8,297.0,11.4,24.3,99.0,141,81
2025-10-02 06:00:00,26.1,27.0,316.0,9.7,21.3,119.0,140,81
2025-10-02 07:00:00,28.2,29.0,331.0,8.5,20.1,135.0,140,81
2025-10-02 08:00:00,30.3,31.1,361.0,8.4,19.9,146.0,140,81
2025-10-02 09:00:00,32.2,32.9,420.0,11.7,20.7,145.0,140,81
2025-10-02 10:00:00,39.3,40.0,547.0,21.6,23.4,124.0,140,81
2025-10-02 11:00:00,49.6,50.1,705.0,34.8,27.1,91.0,141,82
2025-10-02 12:00:00,49.2,49.7,792.0,45.6,28.7,59.0,142,82
2025-10-02 13:00:00,43.8,44.5,746.0,45.2,28.8,48.0,140,81
2025-10-02 14:00:00,40.6,42.1,630.0,44.6,29.0,33.0,136,80
2025-10-02 15:00:00,39.6,41.1,534.0,44.0,29.1,21.0,132,79
2025-10-02 16:00:00,40.2,41.7,495.0,43.3,29.1,15.0,127,77
2025-10-02 17:00:00,41.8,43.4,477.0,42.6,29.1,13.0,123,76
2025-10-02 18:00:00,45.3,46.9,461.0,42.1,28.7,11.0,120,75
2025-10-02 19:00:00,49.9,51.8,427.0,42.5,27.6,8.0,118,74
2025-10-02 20:00:00,53.1,55.1,396.0,43.2,26.0,6.0,117,74
2025-10-02 21:00:00,56.7,58.0,411.0,42.7,25.0,6.0,115,73
2025-10-02 22:00:00,57.7,59.0,534.0,40.4,24.8,8.0,115,73
2025-10-02 23:00:00,60.8,61.5,704.0,36.9,25.1,13.0,115,73
2025-10-03 00:00:00,68.7,69.4,781.0,32.5,19.8,22.0,114,73
2025-10-03 01:00:00,53.2,53.9,673.0,27.8,21.5,38.0,115,73
2025-10-03 02:00:00,28.6,29.5,473.0,21.2,23.7,62.0,117,74
2025-10-03 03:00:00,25.0,25.7,322.0,15.6,24.8,85.0,116,74
2025-10-03 04:00:00,26.3,26.8,279.0,11.9,23.7,109.0,116,74
2025-10-03 05:00:00,27.2,27.7,284.0,9.2,21.6,133.0,116,74
2025-10-03 06:00:00,28.1,28.5,303.0,7.9,19.7,148.0,117,74
2025-10-03 07:00:00,28.1,28.4,322.0,7.6,18.3,149.0,117,74
2025-10-03 08:00:00,27.6,28.0,355.0,8.6,17.3,141.0,117,74
2025-10-03 09:00:00,28.5,28.8,400.0,12.5,17.4,127.0,117,74
2025-10-03 10:00:00,33.2,33.4,466.0,21.7,19.5,103.0,116,74
2025-10-03 11:00:00,38.5,39.0,545.0,33.6,22.8,73.0,116,73
2025-10-03 12:00:00,34.1,34.6,612.0,39.2,24.0,56.0,115,73
2025-10-03 13:00:00,31.8,32.9,655.0,39.1,24.2,46.0,113,73
2025-10-03 14:00:00,30.3,31.3,686.0,39.0,24.5,32.0,112,72
2025-10-03 15:00:00,30.7,31.7,714.0,39.3,24.5,21.0,111,72
2025-10-03 16:00:00,32.4,33.3,739.0,40.4,23.9,14.0,110,72
2025-10-03 17:00:00,35.6,36.7,760.0,42.0,23.0,10.0,109,71
2025-10-03 18:00:00,41.0,42.1,787.0,43.2,22.4,7.0,108,71
2025-10-03 19:00:00,47.1,48.5,830.0,44.2,22.6,4.0,108,71
2025-10-03 20:00:00,52.6,54.1,879.0,45.0,23.2,1.0,108,71
2025-10-03 21:00:00,57.3,58.8,913.0,44.1,23.5,1.0,107,71
2025-10-03 22:00:00,59.8,61.5,937.0,40.8,23.1,2.0,108,71
2025-10-03 23:00:00,57.6,59.3,947.0,36.0,22.4,5.0,108,71
2025-10-04 00:00:00,32.9,34.3,907.0,30.0,22.5,18.0,107,71
2025-10-04 01:00:00,25.4,27.4,780.0,25.7,21.7,29.0,104,70
2025-10-04 02:00:00,19.0,21.0,604.0,19.7,20.5,46.0,101,69
2025-10-04 03:00:00,16.5,17.3,460.0,14.6,19.2,64.0,100,68
2025-10-04 04:00:00,16.9,17.5,377.0,11.0,17.5,85.0,99,68
2025-10-04 05:00:00,18.7,19.2,326.0,8.2,15.6,108.0,98,68
2025-10-04 06:00:00,21.1,21.7,304.0,6.8,14.4,127.0,97,67
2025-10-04 07:00:00,24.2,24.7,298.0,5.9,14.0,142.0,97,67
2025-10-04 08:00:00,26.4,27.0,321.0,6.3,14.3,152.0,97,67
2025-10-04 09:00:00,28.3,28.8,414.0,10.8,15.9,149.0,96,67
2025-10-04 10:00:00,32.5,32.9,659.0,23.0,19.7,124.0,96,67
2025-10-04 11:00:00,48.1,48.4,974.0,39.4,24.8,86.0,96,67
