datetime,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,european_aqi
2026-03-01 00:00:00,27.7,30.9,720.0,27.5,17.1,38.0,93,66
2026-03-01 01:00:00,32.1,34.5,704.0,25.6,18.0,47.0,93,66
2026-03-01 02:00:00,35.3,37.1,625.0,22.8,19.3,60.0,92,65
2026-03-01 03:00:00,37.6,39.1,561.0,19.6,20.4,81.0,92,65
2026-03-01 04:00:00,40.0,41.2,541.0,15.5,21.3,114.0,92,65
2026-03-01 05:00:00,44.0,44.9,537.0,11.0,22.0,155.0,92,65
2026-03-01 06:00:00,47.5,48.3,540.0,7.9,22.6,186.0,91,70
2026-03-01 07:00:00,48.5,49.1,553.0,6.6,23.1,204.0,91,73
2026-03-01 08:00:00,48.1,48.7,574.0,6.6,23.5,214.0,92,75
2026-03-01 09:00:00,46.4,46.9,586.0,8.5,23.8,211.0,92,75
2026-03-01 10:00:00,44.1,44.6,578.0,13.7,24.1,188.0,127,71
2026-03-01 11:00:00,39.8,40.3,560.0,20.8,24.3,153.0,153,66
2026-03-01 12:00:00,42.3,42.8,551.0,28.9,29.1,126.0,165,66
2026-03-01 13:00:00,37.1,38.2,566.0,28.7,27.0,110.0,167,67
2026-03-01 14:00:00,34.3,35.5,589.0,28.5,24.0,89.0,159,67
2026-03-01 15:00:00,33.5,35.4,587.0,28.0,21.3,71.0,142,67
2026-03-01 16:00:00,32.4,34.9,536.0,27.2,19.3,61.0,114,68
2026-03-01 17:00:00,31.0,33.4,459.0,26.2,17.6,55.0,99,68
2026-03-01 18:00:00,29.7,32.4,398.0,25.0,16.2,51.0,99,68
2026-03-01 19:00:00,28.4,31.1,358.0,23.1,14.8,49.0,100,68
2026-03-01 20:00:00,26.7,29.4,334.0,21.1,13.7,48.0,100,68
2026-03-01 21:00:00,25.0,27.6,348.0,20.1,13.3,48.0,101,69
2026-03-01 22:00:00,23.7,26.4,437.0,21.5,14.2,47.0,101,69
2026-03-01 23:00:00,24.5,27.4,565.0,24.0,15.9,46.0,101,69
2026-03-02 00:00:00,28.7,31.8,644.0,28.5,18.7,38.0,101,69
2026-03-02 01:00:00,33.3,36.6,627.0,26.1,17.8,47.0,101,69
2026-03-02 02:00:00,35.3,37.7,561.0,22.7,16.5,62.0,101,69
2026-03-02 03:00:00,36.1,38.3,507.0,19.1,15.0,79.0,101,69
