datetime,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,european_aqi
2026-04-01 00:00:00,30.6,30.9,644.0,17.1,15.2,65.0,152,87
2026-04-01 01:00:00,26.5,26.8,644.0,16.4,16.0,68.0,152,87
2026-04-01 02:00:00,24.6,25.0,609.0,15.4,17.2,72.0,151,86
2026-04-01 03:00:00,24.7,25.1,571.0,14.2,18.4,80.0,151,86
2026-04-01 04:00:00,25.6,26.2,533.0,12.5,19.7,92.0,150,85
2026-04-01 05:00:00,27.8,28.9,492.0,10.6,21.0,107.0,146,83
2026-04-01 06:00:00,31.7,33.1,466.0,9.4,22.3,122.0,140,81
2026-04-01 07:00:00,36.7,38.5,463.0,8.0,23.1,141.0,134,79
2026-04-01 08:00:00,42.5,44.8,476.0,7.3,23.8,160.0,130,78
2026-04-01 09:00:00,47.8,50.3,503.0,11.3,25.6,166.0,126,77
2026-04-01 10:00:00,56.1,58.3,557.0,24.7,29.9,146.0,123,76
2026-04-01 11:00:00,77.3,78.9,626.0,42.8,35.2,113.0,122,76
2026-04-01 12:00:00,113.4,116.9,669.0,58.6,38.4,62.0,124,76
2026-04-01 13:00:00,111.3,114.6,663.0,55.7,37.0,59.0,128,77
2026-04-01 14:00:00,106.6,109.7,631.0,51.6,34.9,55.0,133,79
2026-04-01 15:00:00,101.3,104.3,606.0,48.0,32.6,51.0,137,80
2026-04-01 16:00:00,96.2,99.2,600.0,45.4,30.0,49.0,142,82
2026-04-01 17:00:00,93.1,96.2,601.0,43.2,27.2,48.0,146,83
2026-04-01 18:00:00,93.4,96.4,598.0,41.5,25.2,47.0,150,85
2026-04-01 19:00:00,95.0,98.3,583.0,40.3,24.2,45.0,151,86
2026-04-01 20:00:00,96.6,99.7,565.0,39.7,23.9,42.0,152,87
2026-04-01 21:00:00,97.3,100.4,558.0,39.3,24.5,41.0,153,89
2026-04-01 22:00:00,98.7,101.7,572.0,39.6,26.3,41.0,154,91
2026-04-01 23:00:00,101.7,104.8,597.0,40.3,28.8,42.0,156,93
2026-04-02 00:00:00,105.5,108.7,615.0,46.7,31.9,35.0,157,95
2026-04-02 01:00:00,94.1,97.8,621.0,43.3,32.8,46.0,159,98
2026-04-02 02:00:00,86.8,90.8,621.0,38.5,34.0,63.0,160,100
2026-04-02 03:00:00,86.4,90.8,611.0,34.2,35.0,79.0,162,102
2026-04-02 04:00:00,89.2,93.6,587.0,31.0,35.7,94.0,163,104
2026-04-02 05:00:00,87.3,91.5,555.0,28.2,36.1,109.0,164,106
2026-04-02 06:00:00,95.2,99.0,527.0,25.5,35.8,123.0,166,108
2026-04-02 07:00:00,95.5,99.0,509.0,22.1,34.4,140.0,167,110
2026-04-02 08:00:00,89.2,92.4,496.0,18.7,32.3,155.0,168,112
2026-04-02 09:00:00,80.1,82.9,489.0,17.2,29.8,160.0,169,114
2026-04-02 10:00:00,73.3,75.4,492.0,19.3,26.6,144.0,170,115
2026-04-02 11:00:00,63.6,65.2,501.0,23.2,23.1,117.0,170,115
2026-04-02 12:00:00,82.0,85.4,503.0,30.6,23.4,98.0,170,115
2026-04-02 13:00:00,66.8,69.6,495.0,29.1,21.9,91.0,169,114
2026-04-02 14:00:00,56.0,58.8,481.0,27.0,19.9,82.0,168,112
2026-04-02 15:00:00,50.2,52.9,461.0,25.1,18.4,75.0,167,111
2026-04-02 16:00:00,49.2,52.0,429.0,23.9,17.8,74.0,166,109
2026-04-02 17:00:00,51.1,54.0,391.0,23.0,17.6,76.0,165,108
2026-04-02 18:00:00,54.5,57.4,361.0,22.0,17.6,79.0,164,106
2026-04-02 19:00:00,58.1,61.0,339.0,20.6,17.6,83.0,163,105
2026-04-02 20:00:00,61.5,64.3,326.0,19.2,17.6,87.0,163,104
2026-04-02 21:00:00,63.3,66.1,336.0,18.7,17.9,89.0,162,102
2026-04-02 22:00:00,65.2,67.8,382.0,19.9,18.5,86.0,161,101
2026-04-02 23:00:00,67.8,70.1,451.0,22.0,19.3,80.0,160,100
2026-04-03 00:00:00,77.5,80.3,519.0,29.8,27.7,61.0,160,99
2026-04-03 01:00:00,77.5,80.8,587.0,28.3,27.2,69.0,159,98
2026-04-03 02:00:00,78.7,81.7,654.0,26.0,26.3,83.0,159,98
