datetime,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,european_aqi
2024-01-01 00:00:00,52.7,76.1,873.0,29.3,27.5,14.0,111,72
2024-01-01 01:00:00,57.5,82.9,765.0,26.7,31.2,30.0,111,72
2024-01-01 02:00:00,48.8,71.2,614.0,23.1,36.2,53.0,111,72
2024-01-01 03:00:00,47.1,69.6,491.0,19.5,39.2,74.0,112,72
2024-01-01 04:00:00,43.7,65.7,424.0,16.0,38.3,91.0,114,73
2024-01-01 05:00:00,41.7,63.1,386.0,12.5,35.3,105.0,115,73
2024-01-01 06:00:00,39.7,60.3,363.0,10.4,32.6,114.0,116,74
2024-01-01 07:00:00,40.2,61.2,347.0,9.8,30.4,115.0,118,74
2024-01-01 08:00:00,40.6,61.9,345.0,10.5,28.4,110.0,120,75
2024-01-01 09:00:00,41.1,62.9,374.0,13.1,28.0,102.0,122,75
2024-01-01 10:00:00,41.4,63.3,460.0,19.6,30.7,87.0,123,76
2024-01-01 11:00:00,43.7,67.1,575.0,28.1,35.0,69.0,124,76
2024-01-01 12:00:00,40.7,62.9,637.0,31.4,34.9,60.0,125,76
2024-01-01 13:00:00,40.0,62.9,622.0,29.2,34.8,61.0,125,76
2024-01-01 14:00:00,39.7,62.6,599.0,26.2,34.6,64.0,125,77
2024-01-01 15:00:00,40.6,63.8,571.0,23.2,33.7,66.0,126,77
2024-01-01 16:00:00,39.7,61.0,532.0,20.5,31.4,69.0,126,77
2024-01-01 17:00:00,37.8,58.1,488.0,18.0,28.4,73.0,126,77
2024-01-01 18:00:00,37.3,57.2,456.0,16.0,25.8,75.0,125,76
2024-01-01 19:00:00,36.7,56.0,438.0,14.5,24.0,75.0,124,76
2024-01-01 20:00:00,35.7,54.8,431.0,13.5,22.6,74.0,123,76
2024-01-01 21:00:00,34.3,52.5,446.0,13.6,21.9,72.0,121,75
2024-01-01 22:00:00,33.1,50.5,502.0,15.7,22.0,67.0,119,74
2024-01-01 23:00:00,32.6,49.6,580.0,18.8,22.9,61.0,116,74
2024-01-02 00:00:00,37.6,56.6,601.0,21.3,25.4,56.0,114,73
2024-01-02 01:00:00,39.1,59.8,595.0,20.7,27.8,61.0,112,72
2024-01-02 02:00:00,39.7,61.2,583.0,19.8,30.9,69.0,111,72
2024-01-02 03:00:00,37.8,58.8,555.0,18.2,32.0,77.0,110,71
2024-01-02 04:00:00,33.6,52.0,493.0,15.2,29.1,86.0,109,71
2024-01-02 05:00:00,29.7,45.3,413.0,11.4,24.2,95.0,108,71
2024-01-02 06:00:00,29.7,44.9,355.0,9.0,20.7,101.0,106,70
2024-01-02 07:00:00,27.8,41.6,326.0,8.3,19.8,103.0,105,70
2024-01-02 08:00:00,27.2,40.4,319.0,8.8,20.4,103.0,104,70
2024-01-02 09:00:00,26.8,39.8,345.0,11.5,21.9,97.0,103,69
2024-01-02 10:00:00,28.0,41.6,433.0,18.4,25.1,83.0,101,69
2024-01-02 11:00:00,32.1,47.6,555.0,27.5,29.4,63.0,100,68
2024-01-02 12:00:00,37.0,56.0,637.0,31.2,32.0,53.0,99,68
2024-01-02 13:00:00,35.4,53.9,631.0,29.0,31.4,54.0,98,68
2024-01-02 14:00:00,33.2,50.5,621.0,25.8,30.6,55.0,98,68
2024-01-02 15:00:00,31.9,47.5,597.0,22.6,29.3,56.0,97,67
2024-01-02 16:00:00,29.7,44.1,544.0,19.6,27.8,57.0,97,67
2024-01-02 17:00:00,26.4,39.2,476.0,16.5,25.9,59.0,96,67
2024-01-02 18:00:00,23.6,34.9,427.0,13.6,23.1,60.0,95,66
2024-01-02 19:00:00,16.4,23.9,413.0,10.5,18.4,60.0,94,66
2024-01-02 20:00:00,13.8,19.9,418.0,7.6,12.9,60.0,92,65
2024-01-02 21:00:00,17.5,25.1,431.0,5.7,9.0,61.0,90,65
2024-01-02 22:00:00,21.8,31.3,450.0,5.5,8.0,63.0,88,64
2024-01-02 23:00:00,22.8,32.8,477.0,6.3,8.6,66.0,87,64
2024-01-03 00:00:00,24.2,34.8,467.0,7.2,9.0,68.0,86,63
2024-01-03 01:00:00,24.0,34.6,489.0,7.6,9.4,67.0,85,63
2024-01-03 02:00:00,22.2,31.9,520.0,8.1,10.0,66.0,84,62
2024-01-03 03:00:00,20.6,29.7,538.0,8.3,10.3,66.0,82,62
2024-01-03 04:00:00,18.8,27.1,532.0,7.8,10.1,68.0,81,61
2024-01-03 05:00:00,18.2,26.3,514.0,7.0,9.7,71.0,79,61
2024-01-03 06:00:00,18.4,26.5,503.0,6.7,9.6,73.0,78,60
2024-01-03 07:00:00,19.7,28.4,491.0,6.4,9.5,74.0,77,60
2024-01-03 08:00:00,21.2,30.5,486.0,6.5,9.7,75.0,77,58
2024-01-03 09:00:00,22.2,31.9,526.0,9.2,11.1,71.0,76,57
2024-01-03 10:00:00,24.0,34.5,644.0,17.0,14.7,60.0,76,57
2024-01-03 11:00:00,29.0,41.7,807.0,27.3,19.5,44.0,75,56
2024-01-03 12:00:00,42.0,60.3,1053.0,40.7,28.3,23.0,75,55
2024-01-03 13:00:00,46.9,67.3,1043.0,38.1,28.2,24.0,76,56
2024-01-03 14:00:00,43.8,62.9,1025.0,34.3,28.0,26.0,77,58
2024-01-03 15:00:00,42.5,61.0,987.0,30.5,27.2,28.0,78,60
2024-01-03 16:00:00,38.8,55.8,907.0,26.5,25.1,31.0,79,60
2024-01-03 17:00:00,33.1,47.7,807.0,22.4,22.3,34.0,79,61
2024-01-03 18:00:00,31.2,44.9,735.0,19.4,20.5,36.0,80,61
2024-01-03 19:00:00,31.4,45.4,715.0,18.2,20.3,36.0,81,61
2024-01-03 20:00:00,32.2,46.6,723.0,18.2,20.9,34.0,82,62
2024-01-03 21:00:00,32.2,46.7,734.0,18.7,21.8,33.0,84,62
2024-01-03 22:00:00,30.6,44.5,751.0,20.1,22.5,31.0,85,63
2024-01-03 23:00:00,29.2,42.5,772.0,22.0,23.4,29.0,86,63
2024-01-04 00:00:00,32.4,47.0,725.0,23.0,24.4,32.0,86,63
